year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,541,709,1498,3481,5200,19724,13235,1835,1310,1518,459
2015,1627,2418,5722,12083,17904,63880,42815,6314,4297,4498,1474
2016,5176,9567,17662,30335,44685,168290,113046,17059,11603,12498,4688
2017,294,492,879,1391,2188,7633,4847,714,521,589,243
2018,296,520,1004,1664,2422,9598,6178,870,598,689,232
2019,4738,10828,19210,29479,38555,153972,103349,15879,10737,10557,3863
2020,776,1520,2845,3800,5008,23748,15801,2311,1602,1468,524
