year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,7,7,27,36,58,306,191,26,13,16,2
2008,9,9,12,23,51,229,139,20,12,12,4
2009,4,5,17,24,35,202,131,14,23,11,2
2010,123,201,510,1043,1356,5403,2710,305,213,225,41
2011,6,19,39,98,119,503,402,50,32,40,7
2012,4,8,18,41,53,294,211,36,16,16,2
2013,99,154,369,691,851,3768,2443,302,174,220,79
