year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,943,1416,2431,2998,3431,11526,5944,784,642,673,230
2008,1673,2884,5091,5207,4498,15589,7875,834,627,663,313
2009,190,465,637,804,648,2147,922,118,81,95,33
2010,370,898,1716,2112,2294,6516,3463,498,321,424,113
2011,969,3443,5029,5991,6547,21030,9948,1231,852,1001,384
2012,693,1610,3015,5035,5952,21945,10753,1233,712,762,261
2013,418,797,1530,2342,3014,10648,5415,607,425,495,167
