year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,2,0,2,1,9,6,6,5,7,3,9,7,5,2,1,0,0,0
2001,3,12,20,30,50,50,55,49,41,34,30,18,16,14,18,12,11,6
2002,8,18,48,112,139,140,139,116,96,90,73,57,41,34,26,19,10,15
2003,4,14,39,51,98,133,126,109,87,75,55,46,31,23,19,10,2,0
2004,3,15,14,17,26,46,29,24,26,23,16,9,8,9,1,5,0,3
2005,4,3,16,22,42,52,44,53,38,19,24,18,9,11,9,8,5,1
2006,12,42,97,136,152,195,180,120,128,117,86,82,48,42,33,23,28,25
2007,31,78,198,365,458,457,480,370,329,299,267,208,155,170,144,115,115,77
