year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,92,173,381,596,803,2811,1277,157,107,128,33
2015,83,195,304,377,627,3010,1439,162,116,111,36
2016,70,93,151,211,380,1637,717,100,88,97,38
2017,44,71,169,260,446,1856,935,139,121,135,64
2018,26,30,61,71,172,736,305,47,31,36,12
2019,141,178,539,731,799,2687,1272,174,137,141,51
2020,42,65,112,142,179,812,439,43,27,38,16
