year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,56,95,132,190,323,1097,612,74,46,49,20
2015,382,511,1074,2055,2466,8758,5911,825,555,606,189
2016,422,915,1846,2646,3347,12312,8361,1222,827,858,298
2017,40,59,111,127,180,661,376,36,35,37,12
2018,47,116,241,360,498,2169,1381,186,120,111,38
2019,730,1598,3339,4840,5493,20404,13282,1935,1222,1377,454
2020,655,1188,2186,3085,3684,16014,11205,1622,1228,1293,427
