year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,65,84,197,259,278,1533,850,100,80,61,26
2008,30,55,87,86,99,421,211,27,19,11,4
2009,13,49,109,136,132,463,274,35,10,17,4
2010,53,115,204,269,171,863,530,67,33,50,7
2011,28,90,168,212,213,816,465,38,31,48,10
2012,25,44,74,127,119,515,330,56,31,26,7
2013,42,69,125,125,144,561,384,37,26,33,9
