year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,693,1380,1817,2611,3132,10578,4929,674,516,689,265
2015,131,315,366,511,575,1877,901,142,63,120,42
2016,28,48,74,106,180,566,279,30,20,21,9
2017,31,35,67,123,188,706,363,42,28,35,8
2018,142,181,313,519,748,2451,1213,182,97,138,49
2019,226,289,496,801,978,4067,2166,254,210,255,86
2020,104,152,287,446,622,2762,1653,221,146,196,77
