year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,2,1,1,1,7,8,6,7,3,5,5,6,0,1,1,0,2,1
2001,0,1,4,1,7,10,10,4,7,4,6,3,2,3,0,1,0,1
2002,0,3,11,34,45,58,59,45,37,40,19,21,19,14,9,7,6,4
2003,2,13,25,48,83,125,95,84,83,88,66,52,37,24,30,27,12,12
2004,1,3,10,18,33,43,26,27,28,22,26,15,10,4,9,6,2,2
2005,1,2,13,33,33,26,26,30,24,18,20,10,11,8,2,10,3,1
2006,3,5,15,52,70,80,70,62,41,47,39,29,27,14,13,9,7,2
2007,3,12,18,51,122,117,92,79,79,67,54,35,24,21,11,17,8,3
