year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,261,455,958,962,1069,4186,2201,232,168,159,46
2008,242,607,1061,1085,1223,4540,2312,269,219,231,70
2009,96,154,311,462,573,2262,1133,148,102,73,30
2010,265,475,911,1283,1381,4901,2618,333,213,231,63
2011,246,612,1081,1380,1580,5340,2762,291,228,277,67
2012,250,348,735,1213,1500,5732,2788,340,227,226,77
2013,121,269,510,703,976,3171,1489,178,124,147,35
