year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,57,71,73,77,96,306,143,24,12,16,3
2015,17,44,67,81,97,378,239,21,14,17,3
2016,9,4,13,19,31,74,35,3,4,2,1
2017,14,22,36,41,14,37,26,2,2,1,1
2018,13,7,11,12,12,33,14,0,1,1,1
2019,37,102,165,243,190,525,259,28,19,19,3
2020,18,42,71,62,49,153,81,5,4,7,2
