year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,158,814,1077,1456,2141,9110,3433,322,235,230,54
2002,20,39,83,126,247,1138,455,41,27,23,6
2003,61,209,309,349,369,1709,768,69,36,29,7
2004,21,87,104,108,86,322,156,7,7,8,4
2005,9,53,99,106,75,413,213,15,7,13,1
2006,53,62,68,70,38,179,91,13,8,6,1
