year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,1,4,6,10,10,15,8,5,5,2,7,2,3,0,3,1,2
2001,2,7,10,27,39,47,46,46,37,38,18,21,22,15,4,8,6,5
2002,1,12,14,22,40,44,33,25,29,23,28,15,11,12,10,9,5,9
2003,2,13,17,26,31,28,24,17,30,11,11,18,13,8,8,5,2,1
2004,1,11,28,40,39,34,37,29,34,16,24,10,12,8,12,15,5,2
2005,5,9,23,45,35,65,53,35,45,22,33,19,16,9,14,10,6,13
2006,4,14,31,52,57,54,59,40,42,28,17,22,13,6,9,8,10,6
2007,11,53,96,143,150,161,118,128,88,82,65,52,39,41,37,23,15,22
