year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,1,3,17,27,57,53,34,42,33,30,33,35,21,16,23,20,8,3
2001,4,14,41,81,148,145,104,104,89,78,67,72,56,38,43,39,19,18
2002,10,23,76,214,384,443,380,381,292,235,239,237,192,151,119,82,60,46
2003,15,66,129,340,721,726,639,612,547,463,397,370,343,276,215,175,126,113
2004,3,13,31,60,130,128,116,77,75,68,65,68,45,55,45,27,27,28
2005,4,44,75,150,336,364,278,274,248,232,187,172,152,146,99,84,71,72
2006,9,40,99,159,277,309,249,205,170,202,147,153,132,117,102,63,51,50
2007,36,129,271,288,404,387,357,300,236,241,227,201,195,116,124,98,79,85
