AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
35.33862433862434,35.5,33.104651162790695,27.696581196581196,35.60479269684291,37.146558105107324,32.351851851851855,32.507936507936506,30.272189349112427,34.66987073251575,35.38515406162465,37.49625468164794,34.381379310344826,32.32739130434783,37.605985037406484,30.020833333333332,35.120221948212084,34.91155866900175,34.31146788990826,37.81892301858172,33.5,29.115942028985508,28.36111111111111,56.25,34.02267818574514,34.36482084690554,34.12722646310433
30.46875,32.25849731663685,34.73529411764706,23.053571428571427,32.81454805366175,35.751463129145534,35.823008849557525,33.569086651053865,29.799473684210525,34.027443609022555,32.09015748031496,36.96280991735537,34.75783475783476,32.70928923293455,35.65981213505966,32.53257328990228,33.259857303792714,36.00810119386015,30.593193717277487,37.562190423775455,33.214285714285715,31.434691011235955,29.846153846153847,32.875,31.962264150943398,33.64693446088795,33.352852852852855
34.48412698412698,32.80540897097625,33.201149425287355,19.708791208791208,34.39131411456383,32.90750090155067,32.15841584158416,35.45022371364653,30.64439655172414,33.400230017251296,32.86046511627907,34.857894736842105,35.18238761974945,31.712136196665725,36.37855618776671,33.086580086580085,32.77300613496933,36.4038961038961,31.355701311806257,35.25581020012912,38.75,31.974123539232053,34.59722222222222,32.0,32.04880694143167,32.82391454169538,31.22159090909091
31.175182481751825,31.8446088794926,31.484375,17.06140350877193,33.43751513683701,34.688175460902734,28.21,33.487632508833926,29.09141274238227,33.740046838407494,33.9672,30.009615384615383,31.924723756906076,31.988228802648518,35.59647979139505,26.04255319148936,32.60216346153846,36.15004840271055,31.63030303030303,35.00816104461371,35.5,34.375,39.125,32.5,29.774907749077492,31.634,31.67887323943662
30.904761904761905,33.61048689138577,32.831460674157306,17.37837837837838,34.034946236559136,31.49104204753199,33.321917808219176,32.34814814814815,31.58637083993661,33.25894953051643,34.08870967741935,32.256410256410255,33.65262172284644,31.268876611418047,36.3974540311174,30.416666666666668,32.08297872340425,36.489711934156375,30.346666666666668,35.029960707269154,39.166666666666664,31.968405584129318,34.056338028169016,31.59090909090909,32.734748010610076,32.48033707865169,32.070945945945944
25.258333333333333,31.722560975609756,34.13461538461539,17.225,32.70827285921626,30.848004836759372,33.39887640449438,32.85420240137221,32.085241336633665,30.550038491147035,32.93306169965076,35.13857016769638,33.398743016759774,30.75800980022616,32.431927710843375,31.798076923076923,27.115621788283658,35.60668276972625,30.23164861612515,33.28304405874499,31.25,31.216783216783217,38.72072072072072,33.5,31.60387902695595,31.49126637554585,29.7725321888412
25.1,25.687116564417177,34.79120879120879,12.088757396449704,32.750579710144926,29.6232486151841,35.97826086956522,32.31481481481482,32.216282584057424,26.30759444118223,33.470165745856356,34.71299541655433,33.29514363885089,30.26488229119808,30.76153472559495,34.90858644859813,20.21129587155963,33.036053130929794,29.103293413173652,26.577441077441076,37.55769230769231,30.577685950413223,31.252688172043012,33.6764705882353,34.200165133286156,30.432098765432098,29.999615975422426
27.225165562913908,24.046436285097194,32.98876404494382,17.108486017357762,28.614106789716544,25.236275071633237,33.1045197740113,32.593972602739726,33.31421398223252,26.572187188848325,30.200133868808567,29.266666666666666,31.058005562177193,30.080474111041795,27.471628449280995,30.098513011152416,20.257731958762886,31.277850589777195,24.19348073581401,22.80347187024835,34.166666666666664,31.740528634361233,25.547448979591838,35.14705882352941,29.007462686567163,19.09032258064516,26.86810551558753
32.69598765432099,27.36058981233244,32.61224489795919,18.442307692307693,26.913228765907075,27.52512077294686,30.81203007518797,32.08642899940084,34.68320265379976,28.884807256235828,26.74633162142333,34.35776330076004,32.86478971150504,30.370470637234487,30.104956268221574,29.480132450331126,22.93554006968641,34.33496275605214,25.895182872435324,31.857397504456326,28.72222222222222,31.93098524512137,27.854029062087186,30.0,33.35022522522522,24.8125,27.911133810010213
34.45113788487282,24.918420144877544,32.224444444444444,17.961886304909562,28.252290748898677,27.345493182220647,32.03823529411765,32.755979643765905,36.34442026732981,27.000272405339146,29.364563567362428,36.83057228915663,36.303989286721176,30.73176532769556,25.637328339575532,35.235448473282446,21.48554374183921,32.84797083069119,27.731369691923398,27.134730538922156,41.39344262295082,31.162965382103202,30.932998324958124,37.357142857142854,33.19658390004744,21.92127659574468,29.33307210031348
32.890625,25.56081081081081,30.83653846153846,21.127417794970988,29.4958460865763,26.974053618685996,30.693498452012385,32.8759587020649,34.18458251150559,29.203197925669837,32.2735,33.76223776223776,32.99176419592544,29.90334549113319,27.031965272296762,31.927293064876956,23.95158656089594,31.57711161387632,25.417134539405282,27.813861043899067,34.007462686567166,30.22846889952153,27.880753138075313,36.15384615384615,33.447272727272725,18.803230543318648,29.35653409090909
34.044186046511626,28.762886597938145,34.2814371257485,16.265560165975103,28.932062608027657,24.603369647833798,29.905844155844157,30.452676864244744,33.952407614781634,30.671085542771387,32.132141605327725,34.327397260273976,31.852690288713912,31.81957568193974,27.389089595375722,30.84493670886076,26.85817223198594,32.684967320261435,27.947798576324807,32.41449814126394,30.92105263157895,29.787769784172664,26.77257525083612,35.96875,32.23970840480274,20.031372549019608,29.348977695167285
30.861344537815125,27.323583180987203,35.833333333333336,20.616831683168318,31.22111316046436,28.616481537075952,31.84288537549407,30.913526868437305,36.82307802639128,29.651466380543635,32.44599888080582,37.68866544789763,35.36469508752118,30.45986791973584,29.74874231414198,37.29505135387488,26.89384010484928,33.36020761245675,33.63085501858736,33.08810289389068,35.972727272727276,31.57298772169168,23.808823529411764,30.68918918918919,36.00589535740604,19.485507246376812,32.47086466165413
34.91368584758943,28.788690476190474,29.30327868852459,27.701923076923077,30.651239410103546,28.772924411400247,32.56233766233766,31.52181603773585,37.27654065251165,30.18558625840179,32.155493482309126,33.98529411764706,36.264830508474574,30.71432318992655,29.287019230769232,36.26031920748486,24.98780487804878,32.157779401022644,27.379591836734694,32.87640449438202,29.875,29.967565597667637,32.166666666666664,33.56666666666667,35.74019722939657,23.84,31.285615491009683
33.35059171597633,30.510195758564436,33.60436893203884,27.97196261682243,33.739906043676996,28.59493371212121,29.96716417910448,32.98729253112033,38.232334621993125,32.52444733420026,34.09719222462203,37.36793214862682,37.374194095690534,32.06059957173448,32.970489977728285,37.50160370634355,32.29015401540154,34.984455958549226,34.819492502883506,34.26923076923077,39.97872340425532,32.159267912772584,31.71153846153846,31.907258064516128,38.85890165111271,29.65277777777778,30.985685071574643
29.923809523809524,31.840425531914892,34.00892857142857,24.825,34.82583205021912,27.768801784576162,27.276408450704224,34.339390700160344,36.90017023346304,32.97492923574606,31.964595375722542,36.527301444043324,36.55014011208967,32.086870681145115,36.841226215644824,37.11888667992048,30.285020242914978,35.47574123989218,34.46617786187323,39.258872143898884,36.94042553191489,29.763392857142858,28.818181818181817,37.59718969555035,36.27239947552447,23.53846153846154,30.801526717557252
