year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,52,70,201,418,604,2554,1719,192,159,185,46
2008,285,452,1107,1877,2310,9253,5815,646,459,507,138
2009,555,1057,1923,2819,2932,11844,7367,845,758,747,224
2010,206,452,998,1711,1993,8096,5012,603,349,457,167
2011,439,647,1517,2995,3464,12522,7578,891,631,709,215
2012,166,270,470,937,1095,4045,2118,240,114,108,34
2013,743,1184,2615,5263,7172,25307,15415,1800,1150,1247,380
