year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,129,305,448,516,595,2412,1348,177,129,132,36
2008,330,944,1552,1184,986,4067,2308,313,190,211,99
2009,21,38,44,32,31,150,79,3,9,6,3
2010,71,137,283,287,298,1076,660,108,64,55,8
2011,341,804,1410,1334,1258,4346,2608,330,193,221,100
2012,232,482,763,1164,1253,5134,2965,361,243,227,102
2013,162,296,522,716,1046,4393,2608,333,249,272,79
