year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,334,821,1491,1172,1205,3598,1965,286,247,202,81
2008,118,281,579,481,504,1615,746,85,71,69,18
2009,36,66,116,214,238,608,308,22,22,12,13
2010,158,333,858,600,446,1437,614,73,61,78,26
2011,194,553,1057,998,776,2597,1363,172,115,133,34
2012,120,216,317,348,382,1234,639,59,57,72,27
2013,123,184,316,246,268,881,341,49,28,34,7
