year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,127,171,285,348,399,1540,921,140,94,102,38
2015,128,267,341,379,454,2352,1606,164,112,124,30
2016,173,333,577,795,886,3586,2291,307,313,418,194
2017,39,94,118,146,208,845,375,29,30,49,23
2018,356,1100,1554,1431,1113,3529,1920,264,171,164,86
2019,168,376,606,700,885,3840,2403,349,268,294,146
2020,54,129,191,168,227,1331,723,99,51,85,30
