year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,1,2,5,3,6,3,1,1,0,0,0,1,0,0,0,0
2001,0,2,3,4,5,11,3,4,1,0,7,3,8,2,2,1,1,3
2002,2,18,36,44,60,61,62,52,47,38,37,28,29,16,12,12,5,13
2003,6,7,45,50,97,95,75,86,74,39,46,31,37,24,14,22,10,16
2004,2,8,21,31,70,71,46,55,38,36,23,10,20,14,9,12,7,12
2005,2,1,3,20,29,44,32,28,28,17,13,15,15,7,5,5,3,4
2006,0,5,14,9,21,22,19,14,12,10,5,7,11,6,5,1,3,0
2007,4,42,85,64,92,69,64,62,42,47,24,15,13,8,11,4,6,4
