year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,90,594,1449,2633,3307,15652,9940,1049,672,585,149
2002,503,3944,8069,11361,14205,62142,36950,4229,3115,3151,982
2003,9,30,51,94,151,658,424,53,40,34,9
2004,0,2,7,10,14,69,31,3,3,3,2
2005,4,14,27,25,28,134,96,7,6,4,2
2006,30,104,309,623,608,2669,1878,207,139,112,39
