year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,2,1,2,1,3,0,2,4,3,0,0,0,0,0,0,0,0
2001,4,5,8,19,33,23,29,22,19,5,18,11,2,1,3,4,1,2
2002,6,17,38,74,92,77,85,58,66,38,36,38,19,18,28,11,11,4
2003,6,14,26,41,80,69,65,73,51,44,32,27,22,16,21,9,3,3
2004,2,8,12,32,43,46,55,51,40,30,25,16,33,12,12,9,6,7
2005,7,31,64,117,159,186,150,138,115,98,69,58,43,40,41,27,18,15
2006,4,21,43,72,90,76,71,74,51,53,40,33,32,17,18,15,5,8
2007,6,28,40,62,71,75,62,42,41,49,27,25,22,14,13,13,15,17
