year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,20,38,90,204,230,1149,612,72,50,29,11
2002,113,223,519,777,911,3587,1840,185,130,112,20
2003,56,273,571,834,1108,3913,2029,191,143,124,23
2004,35,103,131,206,239,912,519,57,33,49,12
2005,45,148,310,587,677,2897,1562,163,118,109,26
2006,96,173,462,770,906,3664,2113,214,129,136,28
