year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,1,6,11,31,51,69,55,46,42,25,34,29,40,34,18,15,19,20
2001,4,16,43,53,77,90,99,77,67,53,42,34,34,45,29,28,20,25
2002,23,139,198,201,240,296,228,217,204,185,116,134,128,101,100,75,78,60
2003,15,92,64,86,141,147,133,108,89,73,62,58,55,72,42,33,34,34
2004,4,21,20,23,61,48,40,40,32,20,17,15,24,15,18,12,6,15
2005,3,20,40,30,42,64,51,44,30,28,24,24,14,19,19,10,8,9
2006,13,74,143,101,82,90,96,65,72,53,49,39,29,18,21,20,8,20
2007,70,237,499,177,96,118,116,86,66,61,42,37,33,34,24,28,20,24
