year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,40,41,107,175,310,1295,659,85,64,90,22
2002,10,21,38,56,86,308,172,24,5,12,5
2003,36,52,172,293,405,1738,893,109,84,79,18
2004,32,27,83,175,235,1272,600,70,58,44,5
2005,26,27,88,128,234,1192,593,57,37,36,12
2006,20,31,85,139,164,739,408,39,25,29,11
