year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,0,0,1,3,3,46,47,5,6,2,1
2008,0,0,0,2,1,35,14,0,1,0,0
2009,0,1,1,1,1,19,19,1,1,1,0
2010,1,0,1,3,10,70,65,9,3,2,0
2011,2,1,2,0,7,66,33,7,1,6,0
2012,0,0,0,1,6,35,30,3,3,1,0
2013,0,0,4,6,13,109,121,16,2,6,0
