year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,3,27,32,60,95,547,277,23,14,12,2
2002,19,38,54,122,250,1009,416,47,33,21,2
2003,5,4,20,28,41,254,154,23,16,3,1
2004,3,2,1,10,14,81,57,3,2,2,0
2005,6,7,7,13,19,135,77,13,4,6,0
2006,5,2,5,18,22,148,115,15,9,7,1
