year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,19,30,66,164,241,876,530,51,30,44,3
2008,42,62,169,272,351,1620,1099,110,78,62,20
2009,232,421,721,1106,1468,5944,3183,310,293,247,82
2010,261,664,1014,1463,2054,7691,3888,413,288,382,109
2011,28,59,104,161,232,696,391,44,28,39,17
2012,39,63,114,154,312,793,519,50,49,47,22
2013,57,169,311,403,714,2545,1551,165,131,183,39
