year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,2,3,5,5,6,6,3,3,1,1,3,1,2,0,0,0,0
2001,2,5,10,15,13,22,19,20,21,11,12,8,4,3,2,2,0,1
2002,5,39,62,79,100,138,117,89,88,48,56,41,31,24,18,8,7,5
2003,2,6,19,44,48,80,46,49,41,43,34,22,15,6,5,2,2,1
2004,2,17,21,29,36,47,47,49,29,28,20,17,6,4,3,5,1,1
2005,6,28,52,87,154,168,157,135,122,96,86,60,35,22,26,17,11,12
2006,30,59,186,239,337,425,363,333,321,214,196,147,121,102,68,55,36,31
2007,21,52,138,190,277,342,315,276,228,211,177,128,98,70,53,42,29,27
