year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,29,86,159,190,246,908,373,34,17,25,8
2015,145,195,391,487,598,2908,1728,224,158,190,69
2016,34,74,149,162,198,746,399,52,67,53,29
2017,2,14,24,20,42,141,43,2,1,4,6
2018,8,9,13,24,18,68,40,0,3,3,0
2019,175,447,1166,1091,645,1408,673,84,56,52,19
2020,29,65,152,147,114,768,440,46,37,38,10
