year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,62,178,328,632,978,4545,2186,166,124,69,18
2002,314,615,1099,1621,2520,9470,3857,355,245,185,38
2003,77,150,325,487,921,3819,1542,121,93,65,12
2004,30,111,205,358,631,2659,1211,116,63,65,8
2005,201,379,889,1251,1705,7661,3831,324,252,196,44
2006,198,502,1269,1686,2124,9386,4878,532,378,378,84
