year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,11,73,162,284,523,516,448,395,326,241,244,190,164,121,90,71,47,55
2001,14,121,240,439,791,742,641,536,483,395,316,311,248,181,126,108,58,73
2002,32,162,315,540,862,918,802,669,599,461,433,363,304,214,207,124,100,75
2003,20,207,355,567,866,938,849,682,542,475,356,326,286,237,174,116,82,89
2004,29,151,298,392,640,755,642,487,441,356,285,254,197,190,131,117,72,71
2005,35,173,328,447,778,848,712,513,482,347,316,263,225,173,140,112,81,69
2006,22,172,298,466,666,722,643,486,396,307,278,260,157,164,116,96,57,65
2007,35,218,475,603,854,855,755,583,494,418,332,290,251,183,147,109,67,74
