year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
2001,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0
2002,0,0,3,4,3,1,4,6,1,3,2,3,4,1,0,0,0,0
2003,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0
2004,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0
2005,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0
2006,0,0,1,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0
2007,1,0,2,2,5,3,6,6,4,4,7,2,3,4,1,1,1,0
