year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,110,156,250,347,393,1534,848,116,63,71,24
2015,42,90,129,221,296,1117,614,80,44,58,23
2016,44,62,85,159,170,705,406,57,28,36,24
2017,26,59,110,177,191,647,356,39,29,32,14
2018,11,31,43,54,73,284,112,13,13,7,9
2019,48,121,194,285,348,1112,654,70,69,61,28
2020,52,128,302,488,406,1586,1057,123,83,103,46
