year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,90,176,322,323,98,375,156,9,7,10,0
2008,223,839,1411,1338,489,1871,894,81,56,63,21
2009,32,60,136,150,154,551,265,29,20,16,2
2010,123,265,719,835,600,2246,1118,148,93,99,40
2011,1243,3918,5636,6554,5930,21434,10129,1065,673,775,247
2012,124,293,328,385,474,1677,618,71,56,55,17
2013,348,776,1084,1603,1659,6505,2784,307,179,235,89
