year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,249,271,428,875,1509,5167,2134,228,124,155,37
2015,540,830,1104,1543,1870,6684,3480,432,332,431,144
2016,281,473,690,1082,1363,4539,2708,513,422,574,250
2017,54,68,49,181,505,1189,493,66,70,104,28
2018,40,64,81,144,339,1032,301,42,38,37,16
2019,350,695,1248,1494,1733,4976,2387,305,241,271,98
2020,78,114,200,187,236,840,443,40,37,32,9
