year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,152,283,330,436,702,2514,1289,153,103,97,33
2015,352,677,1084,1530,1962,7514,4480,487,300,336,88
2016,418,837,1058,1277,1822,6926,4484,547,391,404,95
2017,150,277,466,651,961,3329,2015,288,188,164,58
2018,135,343,490,560,615,2316,1433,233,164,164,56
2019,246,538,773,902,883,3360,2170,304,183,206,67
2020,699,1513,2481,2578,2673,10874,6823,880,589,628,196
