 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2021 - Brasil
População residente por Unidade da Federação e Idade simples
Período:2016
"Unidade da Federação";"Menos que 1 ano de idade";"1  ano";"2  anos";"3  anos";"4  anos";"5  anos";"6  anos";"7  anos";"8  anos";"9  anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 anos";"21 anos";"22 anos";"23 anos";"24 anos";"25 anos";"26 anos";"27 anos";"28 anos";"29 anos";"30 anos";"31 anos";"32 anos";"33 anos";"34 anos";"35 anos";"36 anos";"37 anos";"38 anos";"39 anos";"40 anos";"41 anos";"42 anos";"43 anos";"44 anos";"45 anos";"46 anos";"47 anos";"48 anos";"49 anos";"50 anos";"51 anos";"52 anos";"53 anos";"54 anos";"55 anos";"56 anos";"57 anos";"58 anos";"59 anos";"60 anos";"61 anos";"62 anos";"63 anos";"64 anos";"65 anos";"66 anos";"67 anos";"68 anos";"69 anos";"70 anos";"71 anos";"72 anos";"73 anos";"74 anos";"75 anos";"76 anos";"77 anos";"78 anos";"79 anos";"80 anos e mais";"Total"
"24 Rio Grande do Norte";48081;49377;48512;48363;49154;49224;49740;51249;51160;51449;53701;54022;53242;53922;54518;56350;57875;59251;60175;60356;60065;59733;59270;59164;59729;60648;61453;62267;62576;62150;61141;60243;59211;58056;56810;55377;53929;52402;50907;49518;48067;46768;45400;44432;44032;43883;43742;43606;43262;42577;41450;40460;39492;38175;36474;34228;32184;30112;28226;26705;25198;23852;22478;21487;20967;20608;20323;20151;19690;18662;16997;15619;14211;13093;12504;11934;11447;11010;10409;9533;65025;3422843
"25 Paraíba";57272;58463;55616;51332;51868;55705;57332;59210;60361;61426;64079;64591;64585;65769;67539;69031;68942;69492;69826;69871;69429;68872;68410;67867;67321;66752;66525;66471;66307;66043;65680;65371;64843;64173;63459;62556;61692;60648;59417;57975;56169;54529;52684;51294;50586;50083;49611;49122;48448;47449;45980;44737;43562;42136;40474;38321;36445;34493;32817;31634;30470;29470;28458;27608;26903;26048;25349;24752;23929;22806;21098;19652;18194;17034;16382;15637;15035;14515;13748;12592;81318;3953693
"26 Pernambuco";137706;143304;141166;141654;143227;141212;141636;145981;146748;147378;151234;152193;153861;155392;157380;163552;164989;167877;169269;168385;165556;162741;159765;157651;157162;157624;158278;159158;159450;158737;157379;156204;154701;153037;151323;149370;147287;144909;142192;139055;135469;131947;128152;124894;122534;120442;118337;116221;113814;110985;107488;104273;101098;97756;94265;90345;86692;83040;79557;76335;72932;69688;66470;63622;61303;58869;56651;54682;52364;49513;45833;42466;39204;36440;34473;32465;30637;29108;27249;24924;158676;9376936
"27 Alagoas";51087;52184;52417;53024;53618;54259;54343;56195;57565;57585;59353;59795;60711;62845;64251;65006;66002;66927;67100;66177;64170;62162;60138;58273;56848;55676;54856;54190;53626;53234;53020;52833;52494;52053;51513;50809;50085;49224;48165;46865;45266;43772;42080;40746;39981;39444;38933;38469;37741;36610;35032;33664;32261;30930;29778;28552;27413;26252;25177;24248;23250;22364;21529;20672;19768;18680;17684;16734;15786;14902;13838;12897;12012;11179;10454;9581;8845;8168;7516;6867;44308;3294061
"28 Sergipe";33620;34522;34074;33854;34269;34456;34449;35505;35830;36158;36954;36393;36489;36932;37388;39829;40727;42121;42916;42856;42112;41404;40596;40032;39918;39986;40058;40123;40058;39805;39336;38952;38502;37979;37382;36631;35875;35047;34164;33230;32185;31209;30202;29381;28894;28515;28114;27739;27184;26388;25285;24304;23313;22325;21359;20285;19307;18317;17425;16687;15918;15235;14559;13910;13278;12537;11906;11329;10719;10110;9336;8648;7985;7381;6896;6330;5873;5463;5057;4657;30861;2236938
"29 Bahia";205976;207372;204153;206178;210470;212250;215866;221511;224438;225868;231598;238088;242455;246162;246937;253274;259986;264339;266602;265774;261942;258063;254524;251082;248232;246002;245015;244277;244738;247089;250778;253882;256282;256542;253682;248474;243427;237666;231047;223619;215196;206896;197655;190639;186995;185064;183015;181225;178415;173751;167356;161721;156090;150765;146177;141291;136714;132206;127360;122056;115764;110033;104304;99161;94999;90755;86869;83274;79538;75618;70698;66256;62012;58107;54894;51099;47811;44841;41729;38447;267422;14689878
"31 Minas Gerais";263737;270191;265169;262057;263016;260981;259248;262697;266724;270960;281329;286836;291381;297378;304694;319822;327807;337828;344782;347069;346264;345293;343963;343135;343776;344673;345478;345821;345950;345792;345203;344681;343674;341831;339050;335071;331232;327183;321659;314099;304713;295893;286530;279749;277108;276630;275757;275000;273705;271149;267038;263455;259880;255404;249879;242366;235442;228243;220502;212425;202730;193649;184457;175418;167006;157506;148870;140416;132295;124744;116016;108344;100953;94434;89345;83456;78623;74239;69608;64640;445113;20780264
"32 Espírito Santo";56484;57968;57111;55851;55285;54758;53899;54218;54096;53742;54938;56038;56969;57445;58020;60323;60771;61978;62702;62684;62288;61972;61509;61595;62532;64078;65327;66520;67385;67704;67604;67440;67159;66681;66009;65006;63989;62962;61590;59783;57559;55471;53325;51683;50905;50565;50192;49871;49456;48835;47954;47142;46364;45464;44442;43170;41949;40669;39300;37837;36143;34492;32848;31092;29185;27048;25025;23057;21301;19849;18476;17186;15990;14947;14087;13169;12394;11709;11016;10273;73523;3879376
"33 Rio de Janeiro";223599;230395;223979;218641;216932;213035;210788;210740;210560;211538;214202;219419;223583;224411;228973;241812;252894;263409;269814;269759;265928;262943;259464;257633;258873;261856;263379;264094;265545;267968;270594;272993;275604;276895;276182;273854;271707;269815;266411;260983;254139;247370;240235;234727;231928;230698;229060;227441;225957;224462;222547;220565;218692;216137;212648;207973;203178;198435;192894;186323;178619;170829;163049;155432;148314;140870;133360;126280;118945;111202;102746;94624;86968;80529;75838;71580;67312;63754;59930;55563;395381;16947738
"35 São Paulo";614737;624069;610193;605894;605777;598091;591891;591760;589626;590088;601379;611527;610429;612169;625766;656216;659330;675325;685176;685218;681515;679401;675381;678821;694288;716872;734202;749259;762105;770729;774652;777861;781503;780109;772104;758216;744921;732035;717299;701062;683099;665235;646729;631480;621649;614655;607301;600194;592686;584047;573536;563218;552881;541897;530131;516200;502491;488870;473557;456184;435811;415896;396066;376602;358208;338796;319870;301860;283605;264980;244549;225368;207114;191585;180028;168961;158541;149568;140128;129636;900097;44760305
