year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,1,2,1,1,4,0,3,2,1,1,1,0,0,0,0,0
2001,3,8,11,9,14,15,11,10,11,2,7,3,4,5,2,2,0,2
2002,1,5,0,1,5,6,2,4,1,0,1,1,0,0,0,1,0,0
2003,8,38,54,42,20,23,26,13,13,10,8,9,2,6,0,1,0,0
2004,4,16,28,23,9,10,3,3,5,5,2,3,1,2,0,0,0,1
2005,2,22,46,27,2,14,7,5,7,6,4,1,0,1,1,1,2,1
2006,2,5,15,18,0,9,3,3,0,0,0,2,0,2,1,0,0,0
2007,28,85,160,153,10,19,17,6,6,5,2,7,1,5,1,2,0,0
