year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2007,177,279,735,1099,1343,5503,2960,305,244,248,61
2008,429,809,1641,2638,3087,13402,7899,935,627,585,165
2009,360,653,1213,2436,3049,13037,7506,886,634,635,141
2010,792,1542,2949,5575,7275,29045,19357,2460,1846,2338,604
2011,289,417,723,1461,2089,8287,4969,557,408,449,117
2012,299,471,785,1249,2050,7931,4089,487,296,355,90
2013,1004,2015,3889,6738,9458,38290,22807,2994,2014,2275,647
