year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,42,121,184,350,469,2108,1066,130,92,76,25
2002,15,51,97,162,223,819,425,50,30,36,6
2003,18,38,98,175,225,829,359,45,27,24,6
2004,6,29,101,132,174,617,313,43,25,31,6
2005,14,70,148,272,358,1482,654,63,52,43,13
2006,33,102,283,471,665,2517,1218,128,83,94,19
