year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,0,0,1,5,8,39,21,3,3,3,3
2015,7,10,31,59,87,399,457,79,62,72,26
2016,13,26,68,133,229,904,716,152,102,107,28
2017,0,0,0,2,2,9,9,1,2,0,0
2018,0,0,0,3,0,11,5,2,3,1,0
2019,8,19,36,82,107,528,407,84,41,39,9
2020,30,59,110,208,267,1338,1122,170,128,160,46
