year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2014,199,230,485,926,1195,4560,2913,378,245,263,67
2015,102,151,362,655,895,3617,2470,322,194,244,80
2016,205,292,649,1130,1363,5629,3901,525,335,365,113
2017,107,168,158,190,224,934,742,91,54,48,14
2018,66,61,80,91,117,507,299,40,25,31,9
2019,459,691,1328,2101,2638,10789,7503,1013,612,602,230
2020,444,838,1380,2017,2840,16334,12433,1546,1075,1164,473
