year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,>80
2001,23,63,74,94,150,591,360,52,45,48,17
2002,83,156,273,429,705,2813,1197,110,71,77,18
2003,32,87,218,374,691,2340,1183,150,72,90,19
2004,27,73,200,328,517,1889,943,103,55,60,11
2005,8,47,129,201,275,1094,478,73,38,36,4
2006,18,45,145,256,308,1340,568,56,48,30,9
