year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,1,11,22,43,99,125,98,112,91,84,50,57,48,41,35,28,22,29
2001,6,39,72,161,289,321,265,266,241,203,147,185,124,112,78,67,53,67
2002,45,221,360,683,1172,1198,969,837,739,630,527,462,383,307,235,187,139,195
2003,58,289,495,877,1668,1633,1428,1150,1064,929,855,712,626,516,457,333,265,294
2004,11,66,135,290,586,580,470,358,309,253,241,199,201,144,103,114,69,99
2005,12,83,168,306,585,594,541,427,389,299,282,259,193,181,121,115,95,90
2006,7,76,123,214,357,380,289,237,228,154,149,133,121,98,79,61,50,58
2007,10,69,142,262,446,474,413,309,261,223,194,170,138,115,100,64,60,84
