year,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,>80
2000,0,0,3,10,7,12,7,12,15,16,11,10,9,2,3,3,2,0
2001,1,2,5,14,29,25,22,24,31,24,22,24,11,15,7,9,2,2
2002,1,4,21,28,42,52,48,50,48,32,33,33,27,21,13,17,14,5
2003,0,4,7,20,34,32,31,33,28,17,18,16,17,9,7,6,6,6
2004,0,2,5,10,23,11,11,7,8,6,8,2,2,4,1,2,2,0
2005,0,2,3,5,7,10,11,7,6,9,10,3,2,2,1,0,0,4
2006,5,19,47,73,119,126,123,100,105,94,71,62,53,45,38,31,22,19
2007,9,72,186,288,403,419,325,334,299,316,230,200,173,155,114,110,76,98
