,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
acre,0.0178776221187549,0.1034223827867371,0.10889991534457273,0.1787282418938548,0.2651648143488068,0.3461185441216063,0.12794028665664664,0.06625689896900197,0.053174119692245954,0.03865600939013579,0.08026612826295158,0.03930365331224432,0.044266070499804966
alagoas,-0.29148533050635167,-0.28523582966774835,-0.29089052507171825,-0.28385925723850347,-0.18724106048533615,-0.0727628727770736,-0.06871049467532066,-0.06333994353824914,-0.07998228071383369,-0.10633239612055784,-0.1531919737761383,-0.18406825427019216,-0.20913135744567438
amapas,-0.2241830692327435,-0.20373976431719062,-0.2017523166753833,-0.20192864974131872,-0.2514496150436139,-0.24730964126120325,-0.24011332960010004,-0.20565550928614035,-0.18719885141513581,-0.1982025205168124,-0.21293630762620525,-0.21905598049261,-0.2126429801162001
amazonas,0.17501771745198716,0.3600035209292001,0.41258405583558344,0.5155500330641847,0.9367928809704171,0.6875061772126544,0.6504874663700048,0.48516501584644073,0.2939535139690264,0.30426201499298977,0.261817558136627,0.23584086406414856,0.06491460205343975
bahia,-0.16939629382850893,-0.1633338482146327,-0.17415892420345647,-0.15820597679855197,-0.15277343378135072,-0.07325634314228242,0.006699265953528199,0.02141027888695455,0.012167127086563964,-0.01992205437368996,-0.05322877187890066,-0.061132571294687174,-0.12132246866360849
ceara,-0.24904263242678815,-0.2416405535839858,-0.20726746749812572,-0.18704743974689678,-0.15684459725902122,-0.07310967098261253,-0.0461768039072062,-0.014632013726102915,-0.04883337998534873,-0.027084727895069143,-0.032869163349334825,-0.048205442759398566,-0.09840527476856832
distrito_federal,-0.02761027137020097,-0.0013325724005411694,0.04126711899552681,0.02465677886572423,-0.046747274453180165,-0.03677678762557176,-0.012601610327485545,0.026909498318985745,0.04552982284620678,0.05007599493212304,0.05950616365991487,0.034649352907432436,0.045576990135180295
espirito_santo,-0.02773897040821071,-0.023662653150682875,-0.02054939454541102,0.028006589032180496,0.03958667086180973,0.03744900406351587,0.047690793660134595,0.04329987600472391,0.03884374774763109,0.0424008701304616,0.05873485911428283,0.09424315596072973,0.05892494523771701
goias,0.33847660204529373,0.34722556245702774,0.3006290994969065,0.2675566048292881,0.2551162254303535,0.22996173036588055,0.20156808976701177,0.14193917595976344,0.12807881297400395,0.12844752269372173,0.12444685324441568,0.09528649548589303,0.06900485126015263
maranhao,-0.15847501344975173,-0.15175069463866378,-0.1432665998976821,-0.1173317147823698,-0.025439532534788874,0.04743978955616763,0.0662496404282215,0.051190962590596016,0.008900334240056656,-0.012047982128594696,-0.03673254630957524,-0.0517128179081288,-0.07531737499889667
