,age_mean,age_lo,age_hi,cases
MT,"[32.576526062550116, 30.296396332023342, 30.296228305561566, 30.50994614711033, 31.745750453446192, 31.521078841048137, 31.24432221395223, 31.363776628010704, 27.715688830872153, 29.28669061073059, 30.654349351273428, 30.305153096946377, 31.424167143972927, 29.981040930846678, 30.959122422818073, 31.50690426117595, 31.65794274944045, 30.747687432202074, 29.865537480397283]","[31.935024057738573, 29.94282184113374, 29.950551828608525, 29.75955560420315, 31.329942563482465, 31.181190118896456, 30.95885208742134, 30.907194469223906, 27.563179713633026, 29.093508847031963, 30.130418068236423, 30.10765831340335, 31.235007159593856, 29.508730813665622, 30.693833457963894, 31.24598931953314, 31.293488632347742, 30.3086820083682, 29.48519341348667]","[33.222574178027266, 30.663004644515897, 30.638841700930534, 31.215148861646234, 32.1273276904474, 31.861961791527186, 31.525564990865416, 31.80321587867975, 27.88357877131435, 29.476219320776256, 31.22116770783277, 30.5022746178642, 31.62387317755793, 30.4011470539693, 31.210673272086314, 31.767979244659767, 32.02486158558134, 31.193355803502246, 30.236097752221642]","[2505, 8417, 9265, 2296, 6642, 8691, 14827, 5619, 49187, 35243, 4190, 28993, 30902, 6092, 18810, 18259, 8547, 6509, 9632]"
MS,"[32.32464118358816, 30.896616563330383, 32.93838411588412, 36.560395759717316, 35.0877241962775, 35.063309721543725, 33.56487921182266, 32.74900511073254, 30.35146284569138, 32.42372948479434, 31.90498445772844, 32.79165379240249, 33.836895777510854, 30.998288332086762, 32.834742254677444, 32.850345616070335, 30.63086040914561, 33.46049263721553, 32.138776779786056]","[31.990644593554066, 30.61652125775022, 32.234353146853145, 34.48710247349824, 33.771192893401015, 34.71403517342453, 33.29724958949097, 31.316269165247018, 30.014314629258518, 32.270774926780746, 31.420781383432963, 32.408058061237455, 33.669713226462164, 30.31074233358265, 32.59782763686644, 32.64884830260105, 29.77778279181709, 32.978710078408874, 31.995086683880487]","[32.65532944670554, 31.19804030115146, 33.62952047952048, 38.66121908127208, 36.41675126903554, 35.40979970688813, 33.83177996715927, 34.15362010221465, 30.64706613226453, 32.58113015528008, 32.35225875320239, 33.17636577309109, 34.00518975792294, 31.651495886312638, 33.074945987987725, 33.039933142019784, 31.4272412755716, 33.93709600305986, 32.29050534857986]","[9134, 11329, 2010, 285, 595, 10304, 15362, 592, 12612, 54675, 5894, 7919, 43666, 2694, 23332, 33054, 1674, 5267, 54674]"
MG,"[34.35177239687849, 33.03024631196051, 34.090372452510955, 33.50623922413793, 34.35457647927628, 34.59394009101007, 33.949475098530996, 32.484860643689814, 32.20996532846715, 33.135877099366475, 33.50732891168687, 32.01909211681162, 33.04301445595108, 34.536473242135735, 34.12843888263039, 33.95453591241182, 33.21633532842234, 33.71236733923403, 33.523867227614126]","[34.13026755852843, 32.83493677646583, 33.78522456356226, 33.22389739839902, 34.05049155358626, 34.3956635852234, 33.72494028424698, 32.313745565129246, 32.05760078446178, 33.04961294591607, 33.3104428725455, 31.82356977579191, 32.98446141590562, 34.39109243440501, 34.04583292068484, 33.902253495409624, 32.96822181297319, 33.49344351692604, 33.46682659877575]","[34.577925306577484, 33.213469644042846, 34.363698761824196, 33.781600215517244, 34.69734837995016, 34.798955534057114, 34.1726870098332, 32.66924987328941, 32.3632865592751, 33.22012574939411, 33.708147645963344, 32.22240983802761, 33.10154938595513, 34.68991814641903, 34.212956492405205, 34.00740729110697, 33.47241022099447, 33.938139183690595, 33.58047099953688]","[22587, 34818, 13075, 13053, 10891, 28117, 25280, 39732, 47923, 189455, 30881, 25247, 370260, 49510, 163032, 434609, 19791, 24071, 401167]"
PA,"[30.37362823902697, 31.21094793663606, 31.035959717559905, 31.310543088737205, 30.680625203516772, 30.581358806096528, 28.870964792038308, 28.8105607769955, 30.512418893488896, 29.55205384188407, 29.04033007175473, 30.41497671981436, 29.50031438605619, 29.900447164549117, 31.411678324099725, 31.44904706230576, 29.439261584754263, 29.965821887213846, 29.39659658040665]","[30.062463171413462, 30.88968822520432, 30.66883898599375, 30.828183660409554, 30.24462715727776, 30.125825571549534, 28.5507816167496, 28.48956018322165, 30.05560312382386, 29.234650305289033, 28.730365296803654, 30.130516880005988, 29.131604448491153, 29.32751007127363, 30.95229397506925, 31.03237013467515, 28.939393179538616, 29.179131769960915, 28.597423752310537]","[30.645197174586386, 31.55677782262133, 31.392432573214492, 31.803663609215015, 31.079208726799088, 31.082562447078747, 29.22214580790536, 29.144670879633555, 30.96993319533308, 29.868703909285546, 29.321089729651373, 30.713352421588443, 29.87865829864724, 30.507049891540127, 31.866408414127424, 31.867211780375904, 29.945636910732198, 30.77780569514238, 30.152530036968574]","[13298, 9969, 8681, 4700, 6178, 4758, 10697, 11859, 5344, 12674, 13864, 13436, 7723, 3241, 5807, 6814, 5024, 1801, 2174]"
PB,"[32.42373013363989, 32.382351650604875, 32.769918281006454, 29.800029282576865, 32.624271822704664, 31.29688072855464, 31.027028778280545, 27.522665039815056, 27.96970909090909, 28.688885141294442, 28.50236654760438, 30.560991468078846, 30.356282244945387, 27.789794361525704, 31.773517127315497, 34.345486696684404, 32.921964583333335, 30.243282576866765, 26.28285575992256]","[32.029961201322024, 32.029513532909576, 32.381190158093965, 28.47243777452416, 32.09853573043872, 30.474676850763807, 30.555067873303166, 26.95125224762394, 26.336717171717172, 28.12996809480401, 28.074316418278112, 30.134679317446306, 29.99944805949338, 27.21073106688778, 31.462273963540135, 34.03467048710602, 32.25847916666667, 29.773319912152267, 25.994050189887556]","[32.83303994826843, 32.72990055361903, 33.134499554664885, 30.990080527086384, 33.144255992763455, 32.12547003525265, 31.48420814479638, 28.13753531980478, 29.612373737373737, 29.25921262534184, 28.90080059120581, 30.95289423359812, 30.732753311643037, 28.38248341625207, 32.088093575418995, 34.668092509209984, 33.68084375, 30.66020131771596, 26.585613225109835]","[7022, 10279, 9236, 688, 4458, 1710, 5577, 3928, 499, 4424, 8170, 6823, 8671, 3637, 13753, 14997, 2429, 6906, 13500]"
PR,"[35.52368043478261, 33.985993641519165, 32.91281292108906, 35.14764864864865, 34.66711817279046, 34.86786678200692, 35.79997219329708, 30.8417350859454, 32.26887815126051, 33.47036616991316, 33.59068940163159, 34.37066048541042, 35.55688991516147, 34.960769398187985, 36.13184331598263, 36.01834151361346, 31.121656215005597, 33.95453613053613, 35.78464419139916]","[34.646286231884055, 33.574497336312085, 32.59027688047993, 32.01711711711712, 33.619463753723934, 33.863256920415225, 35.57857418334683, 29.660035389282104, 31.122741596638658, 33.2798235449425, 33.380574909842096, 33.81772566130351, 35.40617089148878, 34.70093131548312, 35.95720153997458, 35.87058020686167, 29.84756438969765, 32.799329836829834, 35.60967958812841]","[36.434836956521735, 34.39699261041416, 33.25642131979696, 38.28851351351351, 35.7548411122145, 35.864294982698965, 36.03485093910293, 31.94767441860465, 33.450787815126056, 33.65169561135884, 33.80061272364413, 34.94115080447232, 35.711989857006024, 35.21572986789492, 36.310198133800284, 36.170539218251264, 32.34274916013438, 35.12205710955711, 35.9574887946699]","[1385, 5837, 10918, 111, 1008, 1158, 26125, 992, 956, 34302, 28802, 3694, 59186, 19976, 42156, 57980, 908, 865, 41729]"
PE,"[31.41644869056096, 30.81403350730689, 30.848347927406255, 29.629418719211824, 31.198706923995225, 29.610959222804553, 27.301270141250328, 26.197339570682107, 29.062272678762007, 26.551785902990595, 27.409411379361106, 30.496284316665417, 29.740718095657925, 29.515978330424662, 31.189028731910582, 33.092687252303094, 27.725925140474892, 25.873749844816885, 27.231886340702687]","[31.111871983543, 30.70348173277662, 30.532614222159452, 28.79347290640394, 30.737301034619975, 29.206928288380414, 27.006642362019356, 25.888477969213387, 28.251961045891143, 26.33942548170066, 27.106582143382894, 30.29351338181273, 29.247437734185585, 29.10134162303665, 31.0557601075511, 32.896914122988896, 27.222720681529815, 25.456843575418997, 26.994225300431154]","[31.72787601867236, 30.924623434237997, 31.148543535061084, 30.474458128078815, 31.680854556307203, 29.998715326601047, 27.608043421396808, 26.51077178364638, 29.881016542155816, 26.761773926520835, 27.715114824083614, 30.709650273633706, 30.234841304826976, 29.915877690517743, 31.331381975336452, 33.29769822314375, 28.215973355084284, 26.290840316573558, 27.482617420420144]","[12738, 96360, 14273, 2044, 5064, 7855, 15361, 14215, 1880, 28493, 13650, 26798, 4555, 6901, 71658, 38813, 5565, 6474, 21911]"
PI,"[32.31768289224953, 32.39300280898876, 33.152316830551115, 34.13833012379643, 34.63909698492463, 32.211315523657625, 28.713543614042646, 27.508979257115293, 31.139284604316547, 30.484906433759946, 28.923321620731308, 31.034829166666672, 31.02024329896907, 30.11490053639847, 31.74122120174346, 32.00139446952596, 33.502125, 32.17656171617162, 29.324255625827327]","[31.93866079867675, 32.038652323799795, 32.792293619940544, 32.829436038514444, 34.05172110552763, 31.62955874534822, 28.314861081197503, 26.754377713458755, 30.534187050359712, 30.0119119681771, 28.57185955858131, 30.715329861111112, 30.46207474226804, 29.73022222222222, 31.313188823163138, 31.431045428893903, 32.96573874521073, 31.313465346534652, 28.922426092072364]","[32.66760987712665, 32.76864785495403, 33.49955694031557, 35.43531636863824, 35.24134422110553, 32.81367623604466, 29.10383642041783, 28.26794500723589, 31.716928057553957, 30.960052749913523, 29.309149555287142, 31.375069444444446, 31.553434278350515, 30.541011494252874, 32.124186643835614, 32.55787246049661, 34.03311182950192, 33.03970297029703, 29.76727827621709]","[8519, 7881, 8806, 734, 4031, 3792, 9356, 2083, 3507, 5814, 9173, 10148, 3913, 6558, 6460, 3582, 4240, 1527, 6850]"
RJ,"[33.55221503433321, 32.588072059809434, 34.33917810880829, 32.33594366197183, 31.437568115942028, 33.29244168288666, 33.240394714939654, 27.369765848712227, 29.540162123793298, 30.768699113635158, 28.114748947264466, 32.08973640936512, 33.71671368404031, 31.005359306086444, 34.00539788767396, 34.40810469058341, 31.96460342476133, 34.53585949922867, 34.96108682855041]","[33.385329154040754, 32.50285164794236, 33.46426489637306, 29.73926056338028, 29.602826086956522, 32.85581299595748, 33.02432792342905, 27.23310450888934, 28.96274843838728, 30.494466854200944, 28.013225755480942, 31.94980614649309, 33.622506045615914, 30.372236107027344, 33.829329025844935, 34.22788607498862, 31.5303341415366, 34.150881096475615, 34.73599869184858]","[33.72274749103444, 32.67470135912073, 35.224271373057, 35.092781690140846, 33.232246376811595, 33.689238658481806, 33.47426654182272, 27.51365950111539, 30.108006814310052, 31.018810041929836, 28.220979853841598, 32.228830695700125, 33.80598699733184, 31.611290796824463, 34.19371893638171, 34.58954359155999, 32.409444612820124, 34.914821407381034, 35.18600891178154]","[36120, 148651, 1553, 144, 347, 6718, 24184, 74371, 3545, 18951, 127304, 60178, 136896, 3430, 40597, 40008, 6656, 8519, 24747]"
RN,"[33.019769568882474, 32.97671360493366, 33.04281500833797, 32.67266227461859, 33.07833024270521, 31.90772512460772, 30.273036504603457, 26.995298386429457, 26.397588377723974, 29.736749259624872, 27.75229591280654, 30.85005318153462, 32.75071293762385, 30.76491640416768, 32.25742534165683, 33.040442504390946, 29.637932229694773, 24.910788139975867, 32.585682070987964]","[32.77589113680154, 32.63795785834423, 32.673012784880484, 31.867978502080444, 32.49110989910008, 31.445407974893854, 29.815046034566308, 26.6723045097228, 24.57136803874092, 29.093731490621916, 27.42717789022966, 30.55149329382408, 32.41829527224686, 30.187418221468377, 31.79743968280749, 32.63150635396218, 28.878828246249356, 24.577019048439922, 32.22497724744665]","[33.27137524084778, 33.313703046159596, 33.37939688715953, 33.54230235783634, 33.64662530679029, 32.357831825733804, 30.721232434178646, 27.350703351261895, 28.15635593220339, 30.4109904573873, 28.069219540677306, 31.187308951965065, 33.10239454562612, 31.341289071965107, 32.725852033069, 33.459510279987605, 30.415623383341956, 25.244134631960005, 32.94794974213773]","[16723, 10784, 9080, 1452, 3706, 5448, 6227, 12184, 416, 3047, 12945, 12926, 10676, 4165, 5957, 9873, 1956, 11688, 10035]"
