,age_mean,age_lo,age_hi,cases
MT,"[34.87007843137255, 31.573562992125982, 32.37010529715762, 33.4580704, 33.60599294354839, 32.41433410942957, 32.969464088397785, 29.73580053547523, 26.240682685253116, 28.87228534155598, 31.788469, 31.637170697511394, 31.937379406827084, 31.64788081936685, 33.59069438444924, 31.522403179190754, 34.4998722826087, 31.650197402597406, 33.06696851385391]","[33.133543417366944, 30.58488188976378, 31.433333333333334, 32.006, 32.545841733870965, 31.25020372526193, 31.896878453038674, 28.413286479250335, 25.72493580337491, 28.298345588235293, 30.569825, 30.918655800911324, 31.034667039731392, 29.968761638733707, 32.28180345572354, 29.903179190751445, 32.35849184782609, 29.775, 31.55991813602015]","[36.68991596638655, 32.51061023622047, 33.29079457364341, 34.889720000000004, 34.70186491935484, 33.51612339930151, 34.16135359116022, 31.051004016064258, 26.795703411592076, 29.43064516129032, 32.962025000000004, 32.32430774623204, 32.906043648573025, 33.3524208566108, 34.9460313174946, 33.084537572254334, 36.765081521739134, 33.854740259740254, 34.38051007556675]","[362, 1287, 1569, 631, 1003, 869, 919, 755, 5486, 4258, 1013, 2900, 1831, 542, 942, 702, 374, 397, 813]"
MS,"[36.998790262172285, 36.442716942148756, 34.385056140350876, 29.560509615384618, 31.78846153846154, 34.64480494263019, 34.213382313291994, 28.753777777777778, 33.878879478827365, 36.312568524096385, 33.27372727272727, 33.76712465753425, 37.19304095063985, 33.48187165775401, 36.86882633279483, 36.02996705776174, 32.05899324324324, 37.035775956284155, 38.31419846625767]","[35.005992509363296, 34.84018595041323, 32.27701754385965, 26.28846153846154, 28.641025641025642, 33.57338923212709, 33.613986249662986, 26.728555555555555, 32.63778501628665, 35.71169678714859, 31.98595571095571, 32.440513698630134, 36.46466179159049, 31.430013368983957, 36.07788772213247, 35.135085740072206, 29.83445945945946, 35.04590163934426, 37.586779141104294]","[38.97434456928839, 38.00867768595042, 36.287894736842105, 32.606009615384615, 34.834294871794874, 35.80143424536628, 34.86820571582636, 30.75177777777778, 35.171796959826274, 36.9113328313253, 34.56928904428904, 35.10417808219178, 38.01938756855576, 35.3596256684492, 37.664165993537964, 36.87952391696751, 34.19298986486486, 39.106830601092895, 39.011319018404905]","[269, 489, 291, 104, 82, 1152, 3807, 226, 938, 4082, 880, 744, 2832, 381, 2546, 2318, 303, 382, 3382]"
MG,"[33.85937517241379, 34.23914358974359, 34.69955490051585, 31.41582458563536, 33.15499812734082, 32.86748254189944, 32.78314021887825, 30.58038657131506, 32.365151199165794, 35.805923033549476, 32.48621239705245, 31.360721128608922, 34.86344014680972, 35.785748587570616, 36.87623057346453, 36.051604883907125, 36.327778863775194, 36.44953265145555, 38.21149142467355]","[32.47562068965517, 33.29611111111111, 33.761845983787765, 30.146063535911605, 31.619756554307116, 31.859532122905026, 31.7843707250342, 29.810876042908223, 31.608229058046575, 35.32378770792219, 31.700747724317296, 30.358825459317586, 34.38419678147939, 34.90915725047081, 36.35520868680014, 35.652939851881506, 35.326511912034206, 35.335031471282456, 37.802441044630676]","[35.245620689655176, 35.10962962962963, 35.720081061164336, 32.773515193370166, 34.67911985018726, 33.88577164804469, 33.72168262653899, 31.300854191497812, 33.169099756691, 36.270926134761766, 33.31822713480711, 32.30849737532809, 35.3398115471485, 36.704825800376646, 37.390057685782146, 36.47248048438751, 37.32570250458155, 37.607415420928405, 38.62829126875853]","[745, 1781, 1380, 730, 545, 1464, 1484, 2570, 2930, 7323, 2369, 1561, 7328, 2203, 6085, 10396, 1704, 1308, 10638]"
PA,"[31.833431826086954, 32.19693103448276, 31.20115541113309, 31.493676659922752, 30.771790557508787, 30.270569355446664, 29.755295246663668, 29.591704304429197, 29.867329862557266, 30.232167019027482, 29.393457300968432, 31.30743733285791, 29.957214376428755, 30.199806400839453, 31.557197858672378, 31.606988483053637, 29.928045966228893, 29.147729411764704, 29.091070191431175]","[31.393204347826085, 31.80067558057706, 30.758720683808985, 31.043553430200475, 30.319734639209777, 29.82157934413871, 29.333700704753337, 29.199538365564567, 29.3332361516035, 29.81891516913319, 28.999726449503207, 30.83721251559993, 29.34200533401067, 29.324213011542497, 30.780813704496786, 30.856819677525504, 29.07062617260788, 27.84229411764706, 27.970373746581586]","[32.30035217391304, 32.60971850809289, 31.61258123763775, 31.95552694500644, 31.20839611585468, 30.769619298906896, 30.205757984705354, 29.982417342482844, 30.37694710537276, 30.639247489429174, 29.774176204251035, 31.770141736494917, 30.51995173990348, 31.05800104931794, 32.33154175588865, 32.31667489305693, 30.801500938086306, 30.30179411764706, 30.15355515041021]","[5823, 7180, 7167, 5508, 6042, 5371, 6743, 8093, 4856, 7627, 8049, 5684, 4001, 1935, 2373, 3107, 2186, 860, 1115]"
PB,"[37.103824189526186, 35.15897486671744, 35.89074004267425, 35.11622294654498, 35.89026379066478, 31.91678795180723, 30.26655755220981, 26.97441274776525, 29.613148688046646, 25.13369912609238, 26.52354459352802, 26.88808670520231, 29.22920514253773, 28.790271153846152, 32.464064587973276, 36.33367610993657, 24.0136174863388, 18.680678910702976, 21.94756306306306]","[36.144653990024935, 34.576275704493526, 35.1524893314367, 33.640123859191654, 34.968741159830266, 30.640632530120484, 29.40531811559009, 26.279595802565098, 28.20357142857143, 24.350291302538494, 25.74852999210734, 25.87966040462428, 28.23443264393516, 27.637451923076924, 31.100835189309578, 35.41328752642706, 21.975273224043715, 17.88144395186827, 20.935322822822826]","[38.02764962593516, 35.74150165016501, 36.55842816500711, 36.47359843546285, 36.78725247524753, 33.19771084337349, 31.10788003885381, 27.756373882627283, 31.060131195335277, 25.911828963795255, 27.252229676400948, 27.920086705202312, 30.173923979877028, 30.03567307692308, 33.833658129175944, 37.291955602536994, 26.161202185792348, 19.49783090563648, 22.95960960960961]","[1643, 4059, 2891, 792, 1451, 852, 2094, 2623, 705, 2441, 2576, 1410, 1824, 1065, 933, 2531, 376, 1601, 1344]"
PR,"[29.521916666666666, 32.006592833876226, 32.58769047619048, 25.532574468085105, 29.93472619047619, 31.37930769230769, 34.420170560747664, 29.599096654275094, 28.99339072847682, 34.74814122137404, 31.430189597315437, 30.336392405063293, 36.806744475568, 35.757905888827736, 37.000172131147544, 36.623003180914516, 30.100660377358494, 33.75483412322275, 38.23606930693069]","[24.83125, 30.20814332247557, 31.017099567099567, 20.892553191489363, 26.558630952380952, 28.83942307692308, 33.552803738317756, 27.579832713754644, 26.357284768211922, 33.883814408396944, 30.538590604026847, 28.449367088607595, 36.138951136009965, 34.868381948266375, 36.27688880969352, 35.82939363817097, 28.09685534591195, 31.435781990521328, 37.24960687245195]","[33.876041666666666, 33.815065146579805, 34.128463203463205, 29.979255319148937, 33.476488095238096, 34.14775641025641, 35.273335280373836, 31.636617100371744, 31.6158940397351, 35.54785305343511, 32.425782997762866, 32.41511075949367, 37.44212573918456, 36.6390203632361, 37.77762829650749, 37.45249502982108, 32.154795597484274, 36.256042654028434, 39.17089400116482]","[24, 308, 468, 47, 84, 160, 1739, 275, 152, 2128, 1825, 320, 3324, 1868, 2888, 2604, 324, 211, 1787]"
PE,"[34.57623674475956, 32.73838640630867, 32.26492024539877, 32.11782692307692, 31.604212765957445, 26.620809866392598, 19.73388990825688, 19.73541273932253, 22.383609756097563, 20.987340981160234, 23.446089827344842, 26.369973637961333, 26.403909567496726, 24.465403156384504, 31.800000550055003, 29.782474898785427, 17.107915811088294, 17.559652823920267, 18.02980152284264]","[33.26689272503082, 31.937889598197522, 31.195532975460125, 30.26911057692308, 29.824787234042553, 25.50526721479959, 18.877866972477065, 19.04930964653903, 20.82221254355401, 20.481132251445626, 22.842469668688754, 25.66176625659051, 24.90412844036697, 22.952152080344334, 30.56819306930693, 28.704797570850204, 15.192967145790556, 16.55639534883721, 17.206078680203046]","[35.91627620221948, 33.49133496057078, 33.34355828220859, 33.92103365384616, 33.5768085106383, 27.806808838643374, 20.634919724770644, 20.44151325478645, 23.866463414634147, 21.5158645775042, 24.016501399906673, 27.10402460456942, 27.93112712975098, 25.97309899569584, 33.08659240924092, 30.93766194331984, 19.012320328542096, 18.60431893687708, 18.894606598984772]","[836, 2723, 1338, 431, 479, 993, 1768, 2748, 582, 5417, 4353, 2923, 782, 715, 2000, 2748, 496, 1219, 1999]"
PI,"[34.43606129597198, 35.506571347356456, 35.917350000000006, 35.68167473378509, 35.989186213991765, 35.12384138486312, 32.536694497153704, 30.7486998689384, 33.85475651769087, 32.361847495244135, 31.059198340874808, 32.17769978213508, 32.867883044982705, 31.630850986121256, 34.480159758203804, 34.95229649595687, 34.76565491651206, 40.55135269709544, 32.8604453024453]","[33.378787215411556, 34.93697413303013, 35.50761363636364, 34.42250726040658, 35.30038580246914, 34.41700885668277, 31.882441040932502, 29.795281782437748, 33.03975791433892, 31.723961636017755, 30.282550904977377, 31.356819172113287, 31.87984429065744, 30.537892622352082, 33.2985103626943, 33.45741239892183, 32.952504638218926, 37.84211618257262, 31.4014157014157]","[35.46346322241681, 36.078979533826036, 36.3521387987013, 36.84394966118102, 36.66881858710562, 35.86287238325282, 33.110978584982384, 31.72108453473132, 34.656657355679705, 33.02649017121116, 31.73270173453997, 33.02819172113289, 33.81102076124567, 32.68551862673485, 35.762759067357514, 36.51832884097035, 36.50463821892394, 43.24906639004149, 34.50479407979408]","[1160, 3564, 6273, 1061, 2988, 2534, 3774, 1559, 2186, 3215, 2697, 2339, 1478, 1397, 1203, 766, 573, 249, 803]"
RJ,"[33.78934862385321, 30.093246305991855, 30.864455095862766, 31.154363636363637, 29.826013333333332, 29.74190493381468, 28.597331004657352, 23.69282359638085, 25.40213916146298, 27.250101790174856, 24.90768829278436, 27.446676509359346, 33.13537893432466, 26.908222448979593, 34.314466359092656, 33.9675439924314, 29.024483660130716, 34.298647642679896, 38.92235188509875]","[32.80089449541284, 29.697321116928446, 29.79306256306761, 28.096969696969698, 27.326500000000003, 28.57638387484958, 27.910445775116433, 23.42409970639343, 24.225981266726137, 26.652373022481264, 24.486130172593054, 26.78689691537042, 32.543977695167285, 24.906071428571426, 33.55451749327182, 33.0108325449385, 26.524591503267974, 32.022332506203476, 36.918402154398564]","[34.77543577981652, 30.48394997091332, 31.945736629667003, 34.20636363636363, 32.507, 30.899729241877253, 29.307077511643378, 23.97683953502307, 26.52292595896521, 27.808534554537886, 25.294583073404034, 28.099677036646455, 33.72698884758364, 28.84938775510204, 35.025682429834674, 34.906823557237466, 31.41511437908497, 36.62872208436725, 40.84506283662478]","[1106, 8721, 999, 166, 151, 834, 3034, 16834, 1134, 4849, 9734, 3837, 4150, 501, 2695, 2225, 314, 415, 604]"
RN,"[37.29222108456579, 37.07127930654926, 34.74700290510006, 34.52691186071817, 34.53443320235757, 32.77128437917223, 26.075781986531986, 22.307643943233657, 31.339217468805707, 26.616958083832337, 27.336695126166607, 31.9309727385378, 32.57644887459807, 32.35432152117545, 33.77156923076923, 38.75556101118133, 30.06742857142857, 18.310017259978427, 25.116196290571867]","[36.6207337883959, 36.48646119977986, 34.127073918657196, 33.29192056583243, 33.3418467583497, 31.49252336448598, 24.973021885521884, 21.71108084135834, 29.793048128342246, 25.61313622754491, 26.592291738679574, 30.943494423791822, 31.563215434083602, 31.16678910976664, 31.834375, 37.746475449684006, 26.609714285714286, 17.22858683926645, 23.486746522411128]","[37.9833238528631, 37.638525041276836, 35.41789864428663, 35.86289445048966, 35.727185658153246, 34.12690253671562, 27.243518518518517, 22.934712366953875, 32.918449197860966, 27.671482035928143, 28.10492568268234, 32.890086741016106, 33.57752411575563, 33.634917891097665, 35.666346153846156, 39.721122994652404, 33.909, 19.48096008629989, 26.72952086553323]","[2696, 3748, 3177, 938, 1046, 767, 1211, 4010, 575, 1345, 2943, 1658, 1595, 1176, 545, 2255, 185, 942, 671]"
