,age_pre_mean,age_pre_lo,age_pre_hi,age_post_mean,age_post_lo,age_post_hi,age_diff_mean,age_diff_lo,age_diff_hi,cases_pre,cases_post
AC,"[30.13316838995569, 29.765503424657535, 30.40898300283286, 31.325098554735543, 31.760967729640452, 31.60525829846583, 31.471192256783585, 29.979712402142564, 30.278396404678002, 29.972789894928496, 29.80219638049441, 29.742302429313966, 29.895655119759176, 29.49249936604539, 29.11997122553588]","[29.400147710487445, 29.18492294520548, 29.887953901622456, 30.93379458794588, 31.42610849955533, 31.216673640167365, 30.92442091330245, 29.354419035846725, 30.041504519687454, 29.826977677047374, 29.678693652187686, 29.596043609687765, 29.66283539112604, 29.29030366425764, 28.93474414608574]","[30.827240275726243, 30.33777397260274, 30.957661601854237, 31.71979166666667, 32.13690128319146, 32.025125523012555, 32.0386581733951, 30.630428512566954, 30.511476686583933, 30.12881168683382, 29.93103574873663, 29.89093108342242, 30.105457877055976, 29.688405762647395, 29.306121126514444]","[31.6706312970469, 31.72760127084988, 30.006272845953, 29.988154734411086, 30.2731573622687, 29.969791638108294, 29.630325012970545, 29.648238146081045, 32.21600242879223, 29.27382894153741, 28.90454141161774, 28.557130804344403, 30.74537070707071, 30.6545864246251, 31.060444677603968]","[31.298588592935726, 31.095065528196983, 28.895463446475194, 29.278637413394918, 30.047244063532002, 29.817972192303927, 29.4822034549682, 29.414333899538946, 31.68665820269375, 29.066584284983808, 28.69325109306683, 28.109774909491577, 30.103627946127947, 30.264617863720073, 30.767327991860615]","[32.03305949623625, 32.35507347100874, 31.16860313315927, 30.76502309468822, 30.51397101221366, 30.12230980123372, 29.784145673603504, 29.8825042465421, 32.698023846323686, 29.47820947673428, 29.10937695190506, 28.99140563513301, 31.362441077441076, 31.023036700868193, 31.329470303955233]","[0.05117999945930228, 0.06602820358674068, -0.013169651562186531, -0.04263933806853798, -0.046812172884630444, -0.05170781153846748, -0.05841610449351751, -0.010929966720287308, 0.06400775371060138, -0.023313248601781963, -0.030115236977335, -0.03984102541043642, 0.02843693513001444, 0.03941414271855123, 0.06664807043485323]","[0.023276820976039565, 0.03672231144229731, -0.05279885164607482, -0.06839856712415206, -0.05966143278870996, -0.06469986880048972, -0.07572796390516724, -0.03317026803640966, 0.044977984673142506, -0.031578078974676564, -0.03824013519366771, -0.05589012854422609, 0.005548588074687127, 0.02475976590026039, 0.05499021872579503]","[0.07895367362733796, 0.09598905350552277, 0.02765653836700062, -0.01710698245301492, -0.03456989239956619, -0.03920849400959106, -0.041249138678536246, 0.012496593182483022, 0.08158278054132842, -0.014808851061032339, -0.021445925825601474, -0.024009745434610565, 0.04928852881245069, 0.053293440784845394, 0.078819140876347]","[2034, 2926, 3894, 6537, 7923, 7218, 3046, 2438, 19644, 53034, 69872, 54635, 23069, 31845, 34656]","[6955, 2541, 768, 2175, 19139, 51364, 52403, 20740, 4561, 29613, 32327, 6404, 2987, 7659, 15861]"
AL,"[32.93411066666667, 30.812975856487725, 31.20786593945143, 31.0621063469308, 31.452325459317585, 31.002557733276525, 29.582637702098378, 27.538554461687678, 27.096593537496986, 25.070822765062097, 25.34752908284594, 26.800490114689847, 28.696149090732984, 29.203307426484972, 29.163337990597437]","[32.03595, 30.42201240895603, 30.927752746818435, 30.836165776098007, 31.163434510202354, 30.689281529612273, 29.307781217750257, 27.29636396702231, 26.858386785628166, 24.91421533408601, 25.200835529275658, 26.671295720463387, 28.53625202799235, 29.050441198843753, 28.99478368813058]","[33.785383333333336, 31.174703264094955, 31.474063315152954, 31.307839176332593, 31.729500042333417, 31.31432413719642, 29.867438940488476, 27.76904461687682, 27.33258017844225, 25.215300728728316, 25.50033796088009, 26.928668484156027, 28.847570041407366, 29.346017256742954, 29.329452353282974]","[31.18076939458473, 30.769931638744463, 29.30928002632445, 27.05847506458497, 25.61284051610638, 25.086345407567514, 25.21492769955198, 29.023265170799156, 29.008533767313814, 28.787085273573926, 29.68026136123441, 30.897656719413874, 32.442320539419086, 30.381959771288543, 27.78589195852826]","[30.793459081229084, 30.31537646832274, 29.020734616650213, 26.812682522745142, 25.305615290090408, 24.923200665821966, 25.048081626588644, 28.833546243047046, 28.82875813713401, 28.557569363601086, 29.470575283590502, 30.677800173965405, 32.13699753630705, 29.896574433326528, 27.540371728410673]","[31.549901125646485, 31.21474099749663, 29.59679170779862, 27.306459901156913, 25.92021416659352, 25.243505751409902, 25.380123091341318, 29.198788535872538, 29.177426084712224, 29.006933934807915, 29.894696329176355, 31.12345354789067, 32.75826471732365, 30.84305697365734, 28.047986471108864]","[-0.05305511859951922, -0.0013575256463578293, -0.0608172228570279, -0.1288773864097722, -0.18564253288794416, -0.19080875234672068, -0.14762577401809615, 0.05393284540633479, 0.07058105427391446, 0.14824152418983083, 0.1709452322108514, 0.1528837466416728, 0.13055420986320154, 0.040366833326461064, -0.04722402728746152]","[-0.08098755122972734, -0.019688714083753577, -0.0734251951004713, -0.13908921394272566, -0.19795235081217272, -0.19992817125223133, -0.15716474514448353, 0.04304717182584643, 0.06014642869951202, 0.13686999544079018, 0.1601647257408699, 0.14255562831378504, 0.1187539964148217, 0.023167294923655886, -0.05787061359238074]","[-0.02424915453062747, 0.018874872664300022, -0.048320421342921374, -0.118644684181074, -0.17324884935629453, -0.1819663789123647, -0.13820364128887766, 0.06540157302367534, 0.08197574707391185, 0.16035756745929153, 0.18192531504132906, 0.1627288567032772, 0.14346085880035106, 0.056647937107107894, -0.03660976245390619]","[1517, 7449, 12705, 15394, 11845, 9412, 14580, 20684, 20796, 48889, 46894, 69454, 41518, 46203, 38098]","[6589, 5206, 12197, 17861, 11422, 40402, 43959, 31987, 35026, 20708, 28567, 30285, 15702, 4941, 15932]"
AP,"[33.24700732728542, 32.83766842690384, 32.659196272958845, 32.506215328974825, 32.72158861971831, 32.62115762737188, 32.29835086796423, 31.50077086007702, 30.912425315144187, 29.27414162535029, 29.543601894072257, 30.21239476854242, 30.572449220311874, 30.95323208191126, 30.3573775]","[32.63288555478018, 32.284484435797665, 32.28603700227913, 32.09763179858117, 32.38607323943662, 32.21900119527865, 31.88503748027354, 31.06937981386393, 30.471468658262822, 28.749946109075232, 29.070637495615575, 29.739283255893994, 30.056237504998002, 30.33260042005776, 29.896473214285713]","[33.87865491974878, 33.404891606448025, 33.03688497117576, 32.91865349840034, 33.07093802816902, 32.98511131032422, 32.7114643608627, 31.926648748395376, 31.327434812640305, 29.80025328734641, 29.986452122062435, 30.705321803476163, 31.08813974410236, 31.51364531373064, 30.81970982142857]","[32.87817171918628, 32.41588869904808, 32.04586868492094, 31.391666154184055, 28.963506129597196, 29.43392568883941, 29.635412634408603, 30.617499710648147, 31.166564120290356, 30.334508935824534, 30.326901085347803, 30.627543007488363, 30.864222673559823, 31.301276737160123, 31.390272145144078]","[32.434094535301156, 31.93357334635099, 31.577897223293483, 30.895047221612124, 28.188178633975483, 28.82623156136933, 29.068049955197132, 30.009772858796296, 30.526460421707572, 29.594120633631192, 29.763116674889, 30.143265533292855, 30.228258862629247, 30.368791540785498, 30.165234791889006]","[33.29950638213003, 32.92466438857701, 32.5116756652526, 31.91680210849989, 29.733143607705777, 30.004216532145836, 30.174518369175626, 31.234092881944445, 31.86003283788455, 31.03946994313566, 30.879871731623087, 31.14816332726169, 31.513764771048745, 32.18983383685801, 32.67470651013874]","[-0.011003797832956146, -0.012766972198918439, -0.0187433375920846, -0.03424717036789841, -0.11482449495087599, -0.09766943869906294, -0.0824137903110399, -0.027997104038532512, 0.008278613359050332, 0.0363055757487071, 0.02658627578159523, 0.013810799306749893, 0.009619291083653973, 0.01133677727064115, 0.03408773222794042]","[-0.03311066986190026, -0.035690161775025306, -0.0370719828099516, -0.05413671575425947, -0.1404058907080724, -0.11838592417258528, -0.10284066304479114, -0.05064285999745622, -0.017848931584096554, 0.0070762427359751644, 0.0015083510749440312, -0.010370751032716887, -0.016882775595593362, -0.024118003527157227, -0.008690325049855356]","[0.013113606692663773, 0.010206362958846115, 8.417881656176609e-05, -0.014094783712717811, -0.08972506996736003, -0.07635161122782202, -0.06302080810091949, -0.0046069235988980455, 0.035961110093037964, 0.06948350156620393, 0.05263159647268812, 0.03729843862795768, 0.0369195567924604, 0.04724495062373528, 0.07955887451969085]","[2888, 3625, 7504, 7217, 8910, 6721, 7653, 6273, 5825, 4654, 5723, 5835, 5028, 3827, 5632]","[5031, 4120, 5223, 4583, 2292, 3604, 4481, 3473, 2909, 2473, 4077, 4965, 2718, 1666, 943]"
AM,"[29.242137331365935, 29.443561416765053, 29.26140429773153, 28.72597775559675, 27.74494550455561, 25.866754104925914, 22.483242001900535, 20.36022539547723, 21.20129832096837, 24.03263696060037, 26.777373123538823, 26.732486525619052, 26.969493980602717, 28.15342155315792, 28.857346933224537]","[29.025650822091063, 29.244449822904368, 29.05837320097277, 28.354869528019393, 27.31321557503868, 25.19020824989988, 21.863786822933164, 20.015136957214143, 20.856633151112845, 23.75337711069418, 26.646310908084164, 26.59678025825897, 26.8493571075691, 27.927048061751037, 28.646291762999226]","[29.463269392917372, 29.65537898465171, 29.46080811705139, 29.102163838585486, 28.177922468626438, 26.535392470965157, 23.136553690212224, 20.69997080369466, 21.531872315501754, 24.32066637630662, 26.903152300972067, 26.856747163288222, 27.088696403962665, 28.37523881615421, 29.093041389002224]","[26.664793085385018, 26.52465430546826, 19.719837975858866, 20.162711923904425, 21.72485088730122, 27.3551565478522, 26.75298893133972, 26.681933461375696, 27.773099483666474, 28.511905204460966, 30.60980468156255, 31.278669592617604, 30.50271269748391, 29.52879670567837, 29.99003136275326]","[25.86792823467784, 25.684239472030168, 19.046750232126275, 19.790844751443778, 21.343143581470382, 26.9789169604387, 26.619874848670662, 26.53602574953612, 27.53344793210981, 28.262031443618337, 30.185510715914273, 30.76299234751294, 29.90625365710942, 28.792230169050715, 29.399035525950595]","[27.46234939759036, 27.427404148334382, 20.48155756731662, 20.517285698108935, 22.118927172159484, 27.7512044653349, 26.893877254217568, 26.81963035906117, 28.029623996728183, 28.757001239157375, 31.05687034503724, 31.805339860454648, 31.09851521357519, 30.250162548764628, 30.581383569247848]","[-0.0881250833681547, -0.09912377450039771, -0.3260723342962303, -0.29807116676558065, -0.21692965834940575, 0.05773050965209204, 0.19014979467849014, 0.31058680260423027, 0.3100566152129851, 0.1864272424592669, 0.14312984219157235, 0.17007102923605977, 0.1310137265153133, 0.048869303995284406, 0.03926744287901585]","[-0.11655010885852626, -0.1289991789388004, -0.35009577786107837, -0.313423908593532, -0.2354043272834417, 0.027733611752038763, 0.15670238320449256, 0.2891242187050529, 0.2868724929982043, 0.16889863644679048, 0.1262335345212965, 0.14938918441189414, 0.1091661673667277, 0.021538942557689733, 0.01813439523505056]","[-0.060669661881688576, -0.06833448007147398, -0.3009640706594468, -0.28326019659870644, -0.19873380290820467, 0.08953109027016658, 0.22410543019171567, 0.33386743081303066, 0.33378738456309776, 0.2040209112156147, 0.1604630160741354, 0.19094829208348513, 0.15443424201938843, 0.07567321149879887, 0.06196640627326294]","[19030, 21235, 25150, 7030, 5829, 2503, 3159, 9441, 10267, 14987, 65305, 67988, 77271, 23579, 22195]","[1914, 1593, 2155, 8852, 8701, 7701, 63890, 61702, 19667, 19481, 6626, 4490, 3456, 2330, 3640]"
BA,"[31.582192506142505, 31.383825245512426, 31.76894686469315, 31.80881341892731, 32.25651934611314, 32.424526139289775, 32.27360756819055, 30.95030607187113, 28.31804238030308, 28.268471437055158, 28.228813824194862, 29.41282080330774, 30.273213208179683, 30.55116389312304, 31.79041814064593]","[31.198679361179362, 31.178614338645275, 31.620671374516906, 31.64452842778583, 32.0705405445137, 32.15358554404455, 32.04398410487898, 30.743614897425307, 28.196666832950882, 28.148932822790083, 28.127770768674356, 29.290590076786767, 30.16050326852162, 30.42539430090324, 31.668930450271326]","[31.95269963144963, 31.587981582071297, 31.929477347686205, 31.984966981891812, 32.44854316123721, 32.68324899694593, 32.50584661928544, 31.164807070081235, 28.435026660902146, 28.375562395298747, 28.34106549586603, 29.529885705847608, 30.378758014163594, 30.668196419798186, 31.92447668558331]","[32.224429862792576, 32.51343315655348, 32.242492462785, 30.59570403750556, 28.063175156730473, 27.89127443501478, 29.174803683392916, 29.686234304067753, 30.524474050686436, 31.031427782392026, 32.63652896201602, 34.37699205723195, 34.83440187274768, 31.70918545372154, 29.648780704937465]","[31.908202179176758, 32.22953199256147, 31.893510928961746, 30.359058117447358, 27.946309086791736, 27.773778911456514, 29.023745531452956, 29.54348387791355, 30.396218250500382, 30.882886731727574, 32.43947947886721, 34.2063913601761, 34.63927083948721, 31.334179222839015, 29.466548733580083]","[32.51592413236481, 32.77991769405607, 32.596217260222346, 30.826700480944105, 28.188581023098376, 28.01004471144168, 29.337319620430854, 29.831756562774757, 30.64982733346489, 31.196778965946844, 32.84357911798887, 34.531086856828395, 35.02810155373072, 32.10100543786111, 29.822337131383506]","[0.02037112336289784, 0.036004547653100336, 0.014912487092129409, -0.038130950697099264, -0.12999173393197616, -0.1397948940768843, -0.09600433399750649, -0.0408309833121385, 0.07792103994896644, 0.09774427037033588, 0.15614644767495928, 0.1687808380767925, 0.15067148356814142, 0.0379092725963106, -0.0673636367305975]","[0.005119466019826058, 0.024927586739894758, 0.0030247411639987344, -0.04696236832944205, -0.1366241126432242, -0.1469411579231004, -0.10434428729940647, -0.04847753962979641, 0.07154514157177207, 0.09134963677056804, 0.14802562344839426, 0.1618019445504983, 0.1428475850809791, 0.024897916259983305, -0.07378285719120813]","[0.03608022280426548, 0.046561355341181304, 0.026986959146878688, -0.02957969973088025, -0.12347589240511075, -0.13159277106079229, -0.08797779618970829, -0.033032035180125624, 0.0843983684278381, 0.10443187439495584, 0.16427526364758668, 0.17585119385919046, 0.15850293683704456, 0.051443619943930076, -0.060952628784516995]","[8172, 27943, 49738, 43767, 34276, 16821, 20970, 29245, 90756, 113481, 119565, 85122, 96043, 79892, 72971]","[12481, 14620, 10690, 24905, 84406, 94926, 53714, 56047, 71404, 48484, 32975, 55484, 34660, 8924, 41593]"
CE,"[33.11656133840991, 33.1245597160786, 32.80173587407446, 32.562812733470786, 31.185017353540722, 29.461351154269625, 29.13047085528392, 27.641484728794335, 27.135292621829024, 26.641543970714903, 27.601640081723623, 28.65712686466766, 29.019044925885407, 30.288475833893568, 30.682748083766768]","[32.92198147909138, 32.97365497376813, 32.6726080449509, 32.40911173937006, 31.036425596029428, 29.311605418479147, 29.012572831443762, 27.52907737280513, 27.009456412825653, 26.500561656617858, 27.475559063893016, 28.5626823120692, 28.931406341331815, 30.180940425091794, 30.57822142270541]","[33.30609592798142, 33.28100966978706, 32.93005336606627, 32.70973636938905, 31.341664894088453, 29.6174665631825, 29.24399565439052, 27.756878152985802, 27.263027274060313, 26.788046224519093, 27.726385896483407, 28.758306031037566, 29.115805930666507, 30.39261881367327, 30.785146259434516]","[30.1833236619523, 29.243430650850875, 28.81423371640828, 27.27189665781933, 26.042333313743928, 27.56450612888871, 27.779943378029014, 28.72973090736977, 30.03440828929859, 30.7082776209005, 30.825485383781807, 31.695308965120816, 32.68999135681169, 31.878093355906437, 31.581866146613628]","[29.970857598447033, 29.09501540876846, 28.67018947386778, 27.146847310805637, 25.874389790001565, 27.332171608883854, 27.653700454100974, 28.630150764262048, 29.916539514993346, 30.553279043913285, 30.708546799315865, 31.585911036521527, 32.55155784641837, 31.668819749162147, 31.31921914552875]","[30.39237815446478, 29.395255262239797, 28.96298763580559, 27.399188223798017, 26.20073754113775, 27.807922043772, 27.91500877392737, 28.830115729784414, 30.158319336959472, 30.8725269594219, 30.94946078623373, 31.801301040832666, 32.83308053670669, 32.075902636216014, 31.830647827659245]","[-0.08856466678066176, -0.11716300459566209, -0.12156061689084796, -0.16247837162669646, -0.1649037823611972, -0.06437729288120668, -0.046357059931374636, 0.03937465704953073, 0.1068455175879139, 0.15265475017227745, 0.1168049686262724, 0.10602203985512822, 0.12650440731502585, 0.052486217141609386, 0.02930703705398971]","[-0.09681951438462702, -0.12306108651050568, -0.12692057995770636, -0.16799747086201766, -0.17182053127784233, -0.0737263910083509, -0.05209143388040023, 0.033969718375059445, 0.10001033687857022, 0.14381331013233872, 0.11017127238882055, 0.10079912454924193, 0.12090428932699125, 0.04438797265601219, 0.019576104527188987]","[-0.0800933938106688, -0.11111076650644627, -0.11642629949510457, -0.15671554517291453, -0.1584806214158622, -0.05456415687216381, -0.04038995724127828, 0.045316294301040075, 0.1134644714738835, 0.1612108773352029, 0.12311646492506198, 0.11148701201883109, 0.13262803222902494, 0.06025048960096795, 0.037913427550427946]","[31153, 48900, 76655, 49333, 56807, 55773, 82960, 102993, 82412, 70119, 81290, 127121, 134254, 97282, 103024]","[29052, 51942, 57739, 76272, 51394, 24865, 75150, 108396, 77829, 45311, 77166, 98445, 66107, 29327, 19507]"
DF,"[32.781313761467885, 31.950192965472734, 32.347528379489994, 32.32704685212298, 34.56769207920792, 35.42503341584158, 35.138586363636364, 35.08984054228534, 34.92202396644697, 31.94900879810267, 32.195384404530046, 32.26862359869448, 33.964675424340925, 33.23271458274266, 33.386768565322114]","[31.887981651376148, 31.412504033559213, 31.846030984370714, 31.739650439238655, 33.53443069306931, 34.299133663366334, 34.260965909090906, 34.23950936087799, 34.08488615937687, 31.650028689465227, 31.90068708071846, 32.00180928054491, 33.639355362946915, 32.99165721576411, 33.18950876954914]","[33.68295871559633, 32.52035333978703, 32.86734302166164, 32.91190519765739, 35.58225247524753, 36.58060024752476, 36.1075946969697, 35.96551000645578, 35.70898741761534, 32.25205034044832, 32.474123566327634, 32.55442032070385, 34.28891973636692, 33.47495510821284, 33.58905248159582]","[34.481415584415586, 35.71756872037915, 35.380322362052276, 34.57347298420615, 35.13779633401222, 31.835003743528475, 32.059630290363515, 35.751552618453864, 33.75245116707617, 33.139798729538235, 33.30775110261687, 33.72192976159959, 33.20613343074225, 30.928199851227372, 33.0283679826524]","[32.82424242424243, 34.43546603475514, 34.43526137463698, 33.72793017456359, 34.03434317718941, 31.54379729191557, 31.771706352168394, 34.98840399002494, 33.400276412776414, 32.90264964573662, 33.068761638733704, 33.49891587627104, 32.93406633547633, 30.334558641210016, 32.83095291364059]","[35.9547619047619, 37.03329383886256, 36.46193126815101, 35.485577722360766, 36.238569246435844, 32.128458781362006, 32.35304545793834, 36.47639650872818, 34.09515253890254, 33.38793183483997, 33.54360114672155, 33.943941724344185, 33.46654003506721, 31.495530622365482, 33.23765876157368]","[0.0520798650399951, 0.11799730965930594, 0.09383195585573391, 0.06958195838291906, 0.01671913198423254, -0.10109223584381025, -0.08745796952721731, 0.01900888734805727, -0.03335273628055061, 0.03729537448666598, 0.03457089356292401, 0.045057224917370214, -0.02231097453429097, -0.06933123491812158, -0.010725268847852997]","[-0.0004994257907447112, 0.0736974789588945, 0.05640670853968837, 0.03787316594518236, -0.026096929795026178, -0.13025851312617645, -0.11196793470120861, -0.011671041001477492, -0.05793146067963914, 0.025399860536590668, 0.023147713599688185, 0.03344206538642545, -0.03461115597967149, -0.08808298209463435, -0.019584466671714935]","[0.10795400654224302, 0.16208170836353072, 0.13014860017772378, 0.10184194089160684, 0.0603407728185936, -0.07033446142771389, -0.06284439555558614, 0.05387338881152468, -0.007337108279801661, 0.05044007805040586, 0.045770699036260167, 0.055967303702368944, -0.010514441058002083, -0.05011823468162468, -0.0020555541313844643]","[1092, 3103, 3652, 2735, 1011, 809, 1323, 1556, 1677, 13118, 13913, 14144, 11164, 21310, 29703]","[462, 634, 1036, 1209, 988, 12598, 13445, 2014, 9849, 20611, 20553, 23599, 17237, 4056, 29292]"
ES,"[32.75336117043998, 32.34876376864984, 32.53476825711735, 32.581019387256895, 32.757911067648415, 33.686189952091155, 34.04796058787912, 33.28610402280812, 32.26098226487138, 32.093597494382784, 31.89288602847157, 31.80313686650338, 31.968824864854355, 32.09724243239909, 32.5589511390995]","[32.306263348996154, 32.13282832934242, 32.390901200277746, 32.42824528033201, 32.590883858720666, 33.42211090249903, 33.810858975064676, 33.106954252981794, 32.11116860932476, 31.959637094028732, 31.771486415723906, 31.6699003830158, 31.861078053902695, 31.986395982638538, 32.452946341945456]","[33.217647372917554, 32.560486507644136, 32.67831415534173, 32.7171408373342, 32.93042380924988, 33.944893499935255, 34.28434936973633, 33.45491996233522, 32.41682115822615, 32.21731701504732, 32.0142662298915, 31.94326105896471, 32.074006339205845, 32.21572176799794, 32.66235334543103]","[33.15508899490048, 33.724430700074926, 34.30678113523613, 33.03749773081587, 31.978421244258563, 31.881169978708304, 32.107363760483715, 31.50482744896963, 31.990339873214012, 32.329731306532665, 32.91835267098341, 33.234798989957454, 33.15478343845654, 31.996390360943042, 33.94499823951411]","[32.74557904260569, 33.4128527428619, 34.041741833644735, 32.84217737744674, 31.822466298218753, 31.72969895907263, 31.947257655549052, 31.334305107920695, 31.86515869239704, 32.20187123115578, 32.756203966005664, 33.10915767082453, 32.99149429551989, 31.717207385770916, 33.813093247069524]","[33.546841585787135, 34.03172396570382, 34.57114715546679, 33.24566083492118, 32.122638074610705, 32.04095152196199, 32.25427491710552, 31.679606773122376, 32.110875117200074, 32.447663944723615, 33.07405503844598, 33.37862486614766, 33.339699471292086, 32.29920543848668, 34.0721238061705]","[0.01231679844761358, 0.04253921741561112, 0.054470357297772526, 0.014015942294725253, -0.0237888526997667, -0.05356781238444941, -0.056984091100010306, -0.05350735412348585, -0.008383935493949675, 0.007361919776198594, 0.03215751911268726, 0.04502146799998254, 0.037100569038594676, -0.0031383607701296378, 0.042573057140530536]","[-0.006477908501775425, 0.031092418138527277, 0.04459958237126739, 0.006470681798648753, -0.030591709951330977, -0.06290706217425952, -0.06478874144422941, -0.0607338298400281, -0.014536023421740513, 0.0017292076103325726, 0.026380470806165485, 0.03895187940024218, 0.030859352169906946, -0.012561049063885957, 0.03745601897220473]","[0.032033296389637186, 0.05470865661533375, 0.06346786995198504, 0.022020865479119005, -0.01741190482498012, -0.044895137539586565, -0.04912345308628059, -0.046702625449898394, -0.0020291336895572223, 0.012797489839697916, 0.03844012732155539, 0.05154668503885839, 0.043872826657725864, 0.00692812529720748, 0.04773097771962331]","[4694, 21784, 50607, 49363, 34933, 15532, 18282, 38471, 60120, 73964, 82723, 61249, 103481, 89681, 112046]","[6110, 12082, 15622, 29049, 53920, 51115, 51652, 41205, 71873, 80084, 49770, 69720, 43536, 14482, 68788]"
GO,"[31.603800496331463, 30.01901306304782, 30.113233276804223, 29.91418640864086, 30.984137971618807, 31.312234718995146, 31.30987229194901, 31.73316929205142, 32.17236426732489, 33.17487550132704, 33.41033717958081, 33.33483866835077, 32.805076193426, 32.991220798428195, 33.49965727087636]","[31.292813983599483, 29.83491742529358, 29.942627661579046, 29.736884938493848, 30.8136996435537, 31.15723561618625, 31.172262486987606, 31.593272074355724, 32.05118640019109, 33.083776356532, 33.313205043939725, 33.22862549621076, 32.70747086608076, 32.91261254210208, 33.43288305701904]","[31.93819594302978, 30.196562489424345, 30.27924237529947, 30.088644614461444, 31.16779289125025, 31.47322172122662, 31.451967572132855, 31.868226054680427, 32.290765586432045, 33.27303855794751, 33.50953427136331, 33.44151863045832, 32.89310406906965, 33.065241763105625, 33.56444354241912]","[31.154962778932152, 31.286654918463967, 31.43082009700795, 31.859603960396036, 32.33246834024432, 33.52167875622659, 33.666403100357655, 32.24024016887496, 32.802505214802366, 33.140937178628654, 33.73686241929306, 33.673665170955026, 33.085276043095, 33.543725907373464, 34.00713112664956]","[30.94258175986991, 31.123314045239347, 31.249203775128564, 31.69782511959061, 32.195766958582155, 33.41671404988995, 33.54951711768001, 32.06169512227503, 32.695244575144294, 33.05283584052806, 33.6498730062678, 33.59243524673894, 32.985275416258574, 33.44341600179022, 33.92611410142474]","[31.381680820308972, 31.458493556023146, 31.610432737260403, 32.018728445878295, 32.474262339699976, 33.62620984090822, 33.78299139268324, 32.4189725445421, 32.90869004347191, 33.22305906655824, 33.82317587035814, 33.760967675514365, 33.181910675808034, 33.642589102051005, 34.086839685653764]","[-0.014176532640855012, 0.042237760423721085, 0.04376232118207922, 0.0650427575329711, 0.04352583545506, 0.07056898127355424, 0.0752705423155422, 0.015983971700516606, 0.01959018689223678, -0.001020967626958917, 0.009775653942125382, 0.01016730776066284, 0.00854363863267578, 0.016748428693721548, 0.015149605120666678]","[-0.026124078198785962, 0.0342977804232729, 0.03570467322021107, 0.057177499336071726, 0.03597616150440635, 0.06396377646630873, 0.06914950368401496, 0.008649611102173781, 0.014628385765430435, -0.0051277808837312784, 0.0055838195678629245, 0.005805152553421322, 0.004236920186046189, 0.0129791609893472, 0.012096728555368702]","[-0.0021087593039716772, 0.050665703491836654, 0.05190766177973776, 0.0729562863055207, 0.050598554962090404, 0.07708429051634663, 0.08128273926480552, 0.023096143629239417, 0.024639609864064604, 0.002743992048976151, 0.013652400669547187, 0.014493522823737759, 0.012759127717678648, 0.020654957881917884, 0.018232260517911478]","[9286, 29605, 37217, 33388, 29802, 43605, 51102, 66586, 75721, 136550, 124099, 111651, 129999, 186584, 273830]","[22190, 38148, 34369, 45171, 62767, 104333, 93549, 37868, 110233, 168482, 181699, 188604, 128631, 117242, 180819]"
