,age_pre_mean,age_pre_lo,age_pre_hi,age_post_mean,age_post_lo,age_post_hi,age_diff_mean,age_diff_lo,age_diff_hi,cases_pre,cases_post
AC,"[34.89066137566138, 34.13940271493213, 34.10084154929577, 31.436025862068963, 31.27386557377049, 29.414334437086094, 27.407832558139532, 25.835268199233717, 30.73050176678445, 32.513731565329884, 32.97247042864894, 33.37884326241135, 32.116605993340734, 33.366352189781026, 33.19037079573421]","[32.560317460317464, 31.995475113122172, 32.045422535211266, 29.459590517241377, 29.45565573770492, 27.440231788079473, 25.15279069767442, 23.808333333333334, 29.455624263839812, 31.648091849935316, 32.07738741182854, 32.383546099290776, 30.81453940066593, 32.18880018248176, 32.10941345365053]","[37.100661375661375, 36.32138009049774, 36.16223591549296, 33.40948275862069, 33.3422131147541, 31.365066225165563, 29.637441860465113, 27.881226053639846, 31.88351001177856, 33.451617076326, 33.88239283776451, 34.38086879432624, 33.33856825749168, 34.50921532846715, 34.32079573420837]","[30.590355371900827, 28.352430303030307, 24.701627272727272, 26.12426368159204, 31.165018773466834, 33.14813261648746, 33.33209874476988, 32.706276018099544, 31.897434878587195, 33.270372304199775, 33.89699388379205, 32.11435440180587, 28.21784239130435, 30.68297212543554, 34.677705223880594]","[28.404855371900826, 25.878030303030304, 21.916136363636365, 23.820273631840795, 29.87981852315394, 32.21324372759857, 32.303933054393305, 31.212481146304675, 30.150000000000002, 31.94699205448354, 32.674719673802244, 30.294920993227993, 25.38586956521739, 28.634059233449477, 33.00732276119403]","[32.85134297520661, 30.733636363636364, 27.80090909090909, 28.558084577114425, 32.40322277847309, 34.15229390681004, 34.39422594142259, 34.1802790346908, 33.75060706401766, 34.59599886492622, 35.10953109072375, 33.91884875846501, 30.978804347826088, 32.92334494773519, 36.27257462686567]","[-0.12220295743623996, -0.16858046574525193, -0.27485083630634977, -0.16804150330297796, -0.00244756386521994, 0.1282156449817072, 0.21839246842803908, 0.268092194143248, 0.038435686333953605, 0.023466991703794113, 0.028230453664428147, -0.03760517893336865, -0.12100535188088268, -0.08013328352568348, 0.04512031683433768]","[-0.20393820900619006, -0.2591695182136283, -0.3681777201930074, -0.2583959601523452, -0.08287346703388614, 0.051521769641172686, 0.11445502715977408, 0.1604838283426633, -0.03398041021395732, -0.026840923394595474, -0.0179740321138946, -0.10224198809703804, -0.21476584814386132, -0.15106320206862972, -0.014826355897847976]","[-0.029688140619607745, -0.07574073517108822, -0.16945525500659706, -0.0739025716501116, 0.06885394270056171, 0.20871505337804552, 0.3376956158187157, 0.392702994347238, 0.1094397357869642, 0.07248783493889485, 0.07652504046172555, 0.026613237947125515, -0.029355186805313266, -0.007708061223078183, 0.11008259569313193]","[192, 224, 289, 236, 311, 307, 218, 264, 861, 1585, 1892, 1454, 921, 1128, 1254]","[246, 168, 111, 203, 811, 1432, 1234, 680, 461, 908, 1013, 452, 187, 296, 549]"
AL,"[34.95817543859649, 32.071123376623376, 32.21348762736536, 31.874469832402237, 32.12824499332444, 31.862025442477876, 28.08023084025854, 24.61173560090703, 24.49371748135874, 24.346525852821284, 24.758042067307688, 25.491744057052298, 26.912827522255192, 27.941649596774194, 28.80263680981595]","[29.92719298245614, 30.620008116883117, 31.284461426491994, 31.097653631284917, 31.276001335113484, 30.710149336283187, 27.004501385041554, 23.85958049886621, 23.81754349627175, 23.838167775155544, 24.244158653846153, 25.0033676703645, 26.23753709198813, 27.227953629032257, 28.023701431492842]","[40.40350877192982, 33.51306818181818, 33.170323871906845, 32.64432960893855, 32.9955774365821, 32.94806415929204, 29.201361957525393, 25.348219954648524, 25.220443247721622, 24.86743188157048, 25.313485576923078, 26.007706022187005, 27.583753709198813, 28.67704637096774, 29.586543967280164]","[31.9720527027027, 32.37366125290023, 26.422569852941173, 24.061663400293973, 24.249874574347334, 24.69408435207824, 24.56209532611566, 26.920322940902743, 27.82949059734513, 27.617103363412635, 29.40966069546892, 30.485161056447435, 29.233784971098267, 22.0764875, 22.825054937867883]","[30.72010135135135, 30.792633410672853, 25.315379901960785, 23.29781969622734, 23.31484108967083, 24.069598105134475, 23.99928043306047, 26.179106561191254, 26.991662057522127, 26.59883100902379, 28.489897260273974, 29.428741584671155, 27.509826589595377, 19.896796875, 21.86116742969261]","[33.17503378378378, 33.99390951276102, 27.594638480392156, 24.831626653601177, 25.121240068104424, 25.33086033007335, 25.163843411671508, 27.68193345742206, 28.710301438053097, 28.59567268252666, 30.347299789251842, 31.594601242879335, 31.017543352601155, 24.388203124999997, 23.798005232177893]","[-0.07981554422447448, 0.009976884013438282, -0.17957925063378685, -0.24499135228343955, -0.24506639108747716, -0.22471562998289102, -0.12495999638335312, 0.09406173116488833, 0.13643431739547004, 0.13446502666127744, 0.18804364171584703, 0.19598769320334034, 0.08642428141295719, -0.20977344937886142, -0.20735674178708116]","[-0.21347472709612894, -0.05506377037387057, -0.22028385953656263, -0.27735819469531126, -0.279599289658477, -0.2579432107360594, -0.16415506504887672, 0.04937598399409232, 0.08798588917267165, 0.08512036898304243, 0.1410389940340274, 0.14889830604172227, 0.014883005575605684, -0.2901420778476927, -0.2490510232397393]","[0.08955647709982438, 0.07718684664408394, -0.13578232624817313, -0.2134120806731888, -0.21026416708751391, -0.19051797494312947, -0.08071041011994526, 0.1401132126506888, 0.18354691753677163, 0.18257292064985908, 0.2334193179187322, 0.24375924993599832, 0.15548287514644096, -0.1266336244801941, -0.1662173585192876]","[60, 632, 1406, 1831, 1530, 920, 1091, 2225, 2444, 4704, 4201, 5098, 2735, 2513, 2512]","[756, 435, 820, 2061, 1788, 3299, 3818, 2182, 1833, 1233, 1959, 2032, 921, 333, 1556]"
AP,"[32.641232558139535, 32.947449999999996, 32.87675510204081, 31.90308620689655, 31.852430921052633, 31.925089219330854, 33.883335570469804, 33.760468613138684, 33.467867948717945, 32.03322, 31.237088607594938, 31.649558282208588, 32.298471953578336, 32.4713166226913, 32.30806220095694]","[26.53488372093023, 27.699583333333333, 30.0, 29.87887931034483, 29.82557565789474, 29.546282527881043, 32.372147651006706, 32.331350364963505, 32.12929487179487, 30.383454545454544, 29.778243670886077, 30.165567484662578, 30.62833655705996, 30.41675461741425, 30.355442583732057]","[39.76860465116279, 38.38583333333333, 35.94608843537415, 34.19418103448276, 33.82401315789473, 34.26542750929368, 35.41421979865772, 35.14193430656934, 34.87894230769231, 33.68186363636364, 32.71214398734177, 33.127377300613496, 34.036750483559, 34.49346965699208, 34.20346889952153]","[31.515870967741932, 32.8344609929078, 34.22506114398422, 33.75055766192733, 32.31355692307692, 31.92356451612903, 31.00823917525773, 31.678817330210777, 34.35419844357976, 31.55007075471698, 31.483618902439026, 33.2241106870229, 30.72907526881721, 26.024975308641974, 25.28303125]","[29.276152073732717, 29.70159574468085, 32.65256410256411, 32.3521327014218, 30.206076923076925, 29.964247311827958, 29.36701030927835, 29.7884074941452, 31.92966926070039, 29.111556603773586, 29.438948170731706, 30.84675572519084, 26.171774193548387, 21.912345679012343, 20.8125]","[33.972580645161294, 36.326950354609934, 35.88254437869823, 35.18838862559242, 34.513999999999996, 33.846908602150535, 32.670103092783506, 33.49432084309134, 36.91060311284046, 34.50955188679246, 33.552439024390246, 35.60314885496183, 35.376612903225805, 30.432716049382716, 29.847656249999996]","[-0.023830442031111624, 0.0035775804102255765, 0.04333720712479766, 0.05918689821662206, 0.015470566403392347, 0.0013761458695413051, -0.08435907129687058, -0.06128443169147023, 0.026867118436068628, -0.014431599587170371, 0.008502041126128427, 0.05034681893294439, -0.047893336741363673, -0.19788304138108617, -0.21661100330465127]","[-0.22062319383756238, -0.1763986778092809, -0.059487843230434066, -0.022324942057957035, -0.07382020551771822, -0.08896478578316706, -0.14639859165557867, -0.1234167839274199, -0.055246775781205695, -0.10431797916188776, -0.07038613539482842, -0.03962971071988875, -0.20041626194766546, -0.3341566978613242, -0.3685963788923447]","[0.18393946339388798, 0.21219703276318228, 0.1540988379827908, 0.14243267378086913, 0.11187737301478216, 0.1055096228147637, -0.02055555826700785, 0.0045934826090583665, 0.11370416367003106, 0.08882134135089796, 0.09066679483765118, 0.13926809341518773, 0.10184328840343544, -0.058872177858127955, -0.05715202063161382]","[43, 60, 149, 240, 314, 280, 616, 708, 804, 562, 639, 658, 525, 390, 431]","[225, 146, 525, 653, 334, 379, 488, 430, 265, 220, 336, 268, 96, 83, 64]"
AM,"[27.252760683760687, 26.220841379310347, 21.68456937799043, 18.72118795180723, 18.004115887850464, 16.71836645962733, 13.088799999999999, 15.028518079800499, 15.400383592017738, 17.079323032351525, 19.623048033526757, 19.433329549140446, 20.123805970149252, 20.549862683438157, 23.80127176015474]","[24.135470085470086, 23.295344827586206, 20.12141148325359, 17.272289156626506, 16.72327102803738, 14.974611801242236, 12.108811188811188, 14.388326059850373, 14.730487804878049, 16.4563978754225, 19.020704384268214, 18.811482322413234, 19.550310945273633, 19.474816561844865, 22.622582205029012]","[30.512820512820515, 28.973275862068967, 23.249342105263157, 20.294698795180725, 19.353457943925235, 18.44728260869565, 14.12034965034965, 15.71633416458853, 16.11660199556541, 17.75814823756639, 20.205407801418442, 20.044145313006812, 20.74003198294243, 21.69714360587002, 24.965425531914892]","[16.75932824427481, 16.871442307692305, 12.13162433862434, 14.964083549222797, 16.892541249036235, 17.59633172147002, 19.76823821252639, 20.128744478129057, 18.717835120643432, 22.189618513323982, 27.390671077504724, 26.0380843373494, 25.180707446808512, 23.92629943502825, 25.43540707964602]","[14.873473282442749, 14.89375, 11.195414462081128, 14.275858160621762, 16.10632228218967, 16.640087040618955, 19.19418543279381, 19.416933737548725, 17.509383378016086, 20.95767882187938, 25.729017013232514, 24.42327882960413, 23.324468085106382, 21.220056497175143, 22.79192477876106]","[18.72576335877863, 19.216346153846153, 13.190652557319224, 15.692454663212436, 17.780281418658443, 18.589216634429402, 20.377243138634764, 20.824664356864442, 19.84323056300268, 23.531767180925666, 29.072069943289225, 27.656024096385543, 27.242353723404253, 26.740254237288138, 28.013384955752212]","[-0.3828932156670844, -0.3546146570038837, -0.43973782112553456, -0.19924843927744773, -0.06041897539778108, 0.055488772635693025, 0.5125878527221726, 0.340051764979825, 0.21601526660566356, 0.2997145254732467, 0.39616172874283107, 0.34021605624698753, 0.25162675350623176, 0.16514025177811562, 0.0692718923164507]","[-0.4760284730460917, -0.45754817998888647, -0.49593114232144825, -0.27360003891635293, -0.13735975266090625, -0.06587768105778366, 0.39117092770494644, 0.2670758678353012, 0.12851224163747396, 0.20736831048360327, 0.3011835558796314, 0.24860448118802084, 0.1526743928344302, 0.018528760955884436, -0.05058952188317074]","[-0.2800384557552621, -0.24403460046514808, -0.3654499952039656, -0.12051261120355378, 0.029189253978705074, 0.18984564100953114, 0.636688246287335, 0.4175925762038451, 0.3059802739420179, 0.39405690381906916, 0.49701802399393946, 0.4329540435759779, 0.3603402068473396, 0.3166246167401487, 0.19492866243367685]","[119, 147, 420, 416, 537, 324, 716, 1611, 1812, 2082, 3120, 3102, 2832, 961, 1042]","[264, 209, 567, 1551, 1305, 1038, 2859, 2325, 750, 718, 535, 596, 390, 180, 233]"
BA,"[35.097875618105746, 32.9465966049646, 33.44927131350188, 33.20713074723455, 33.63902620403, 33.00970394451669, 32.79259229918939, 29.968069755637735, 27.595767955603296, 27.197496399665084, 27.44758609900249, 28.352447463768115, 29.33972677994371, 29.594805241476028, 31.610009072978304]","[34.39207873716242, 32.63018425317751, 33.22557819602839, 32.973242907667995, 33.39585705249842, 32.67714997832683, 32.46435151068533, 29.655336813864114, 27.370317758682422, 27.01035445157689, 27.249988634236356, 28.146143892339545, 29.131184196810175, 29.354976334472784, 31.342993096646943]","[35.764292506656524, 33.27386334556001, 33.676758513438074, 33.428844344946945, 33.87832068311196, 33.339109232769836, 33.13277450257922, 30.287830831701832, 27.810385785893303, 27.399750907061122, 27.645667638328028, 28.549467035455486, 29.555494457764343, 29.85036265229205, 31.88175788954635]","[33.26492094771614, 33.036149068322985, 32.24230341604898, 29.398750430448573, 26.93988325163399, 26.948830341653387, 28.314328910137576, 28.70153051835191, 29.512804238194693, 30.580093921315704, 32.3519707131881, 33.803297383418105, 33.73797845038692, 31.081194749911315, 27.75503582089552]","[32.8654374074496, 32.62798069133135, 31.78803577183371, 29.053069777979157, 26.701324550653595, 26.730801026730393, 28.055899356034736, 28.431056384827727, 29.27588380622485, 30.238207433086103, 31.98273298381994, 33.49688553220173, 33.32287442452738, 30.292178077332387, 27.193358208955225]","[33.63379940767741, 33.443579530110725, 32.68287947147921, 29.74689850475759, 27.182111928104575, 27.160193839617634, 28.5767623670602, 28.958608526735507, 29.77401813458306, 30.90601620445018, 32.72358537467233, 34.094913904038236, 34.18653149182094, 31.891965235899253, 28.31647263681592]","[-0.05212966096797279, 0.002745273583640248, -0.036071444547238915, -0.11467484616428504, -0.1991360966396755, -0.1835879738984636, -0.13653874842474398, -0.04223516248701211, 0.06948596711489555, 0.1243860481144961, 0.17869736588822321, 0.19226849410099425, 0.14992399502638973, 0.05024303896891843, -0.12193917432117453]","[-0.07358911393806603, -0.013035883847612086, -0.050710820897086124, -0.12717869731594583, -0.20897427246185074, -0.19448140495942054, -0.14809792117934156, -0.056469180076482196, 0.05715203412704868, 0.1097829964973488, 0.16202163720103493, 0.17854549064967157, 0.13394482038810115, 0.023704155089250122, -0.14155319811055653]","[-0.031213715038378408, 0.019189501946168978, -0.02142730330165783, -0.10270691732619382, -0.19004079701437615, -0.17282931762710044, -0.12397649436540852, -0.028860928875821236, 0.08194156611867372, 0.13784839408440827, 0.19445872081729904, 0.20546618829951774, 0.16732427579078227, 0.07950822994345509, -0.10266318831858001]","[2696, 11985, 25634, 27166, 22617, 11782, 11088, 14044, 28384, 36358, 37967, 31378, 29284, 23218, 20836]","[8968, 7554, 6348, 11230, 24850, 28662, 20813, 19870, 19979, 12653, 11422, 17058, 10709, 2925, 5137]"
CE,"[36.6570207253886, 35.71674936126724, 33.78623974630021, 33.454303346416026, 32.01234871713401, 31.199755233494365, 30.09907851108429, 27.378950100010528, 26.60412608515916, 25.74308447877387, 26.6718340443686, 26.082140607054964, 26.23425261444048, 26.650031505806208, 28.142719038386975]","[35.61565507031828, 35.10102197240675, 33.39776162790698, 33.06241737244371, 31.684625466677257, 30.859778135623547, 29.798369116432703, 27.094587588167176, 26.31173448296226, 25.43883347524632, 26.379851292052656, 25.78597757724911, 25.926434028430084, 26.258271463925375, 27.781566498642885]","[37.6329570688379, 36.331917475728154, 34.16878699788583, 33.81588772980789, 32.3501985860672, 31.547374306673824, 30.404211395540873, 27.65700994841562, 26.890739975196364, 26.05985433645542, 26.984911323744512, 26.39257314738857, 26.530405786210782, 27.01763516086046, 28.494998061264056]","[31.70300425954849, 30.717801978136386, 29.623181251825176, 26.56025519747023, 25.185439184807784, 26.886444732408968, 26.61191219137955, 25.729390884633645, 25.957315746084088, 28.18918249733191, 28.164075177749897, 27.826899408908595, 26.587674681463213, 24.32742450021268, 25.358870073624946]","[31.262306545506174, 30.314711087975013, 29.25736153022486, 26.235807037610172, 24.825331171838815, 26.458500712712194, 26.284269075184824, 25.37380914701693, 25.507656636438583, 27.708492148193322, 27.776950020911755, 27.398308528604602, 25.958158651870118, 23.451159081242025, 24.54080770896492]","[32.15286099673435, 31.12119729307652, 29.99662464713326, 26.881894637690912, 25.5585456229736, 27.367765971232345, 26.931829753103642, 26.083428944453235, 26.41779334982138, 28.674676017685623, 28.57982538686742, 28.292202343255227, 27.19622893547061, 25.26079327945555, 26.191868774361197]","[-0.13496538509538608, -0.1398905162892583, -0.1231877965731591, -0.20604518181606818, -0.21323451716743824, -0.13822064317316166, -0.11583161739419899, -0.06022236343417492, -0.024280655278144783, 0.09505926171092827, 0.055984254070933104, 0.0669333101787443, 0.013505421610836304, -0.08710701596190285, -0.0988763855931964]","[-0.16165990580366058, -0.15861739354172344, -0.1373104359787762, -0.21965459570393844, -0.22691906096440892, -0.15582598298063213, -0.1299710906464584, -0.07678981161549413, -0.04415416030738406, 0.07264867040410611, 0.03591852733157931, 0.04580884927514218, -0.012729591344305865, -0.12076904405908052, -0.1296286869888342]","[-0.10624094343460334, -0.12073675165087822, -0.10820131689667653, -0.19222634747894657, -0.19895263673020075, -0.12074130082295356, -0.10185719824039512, -0.04469429891702263, -0.004565369104820154, 0.11917103327088009, 0.07546030262603781, 0.08831954675248038, 0.04134377590734929, -0.048790443431183925, -0.06670643486755856]","[1388, 4013, 9695, 9922, 12873, 11427, 16091, 19390, 17266, 16721, 16720, 18629, 16328, 10767, 13243]","[7191, 9812, 10515, 15154, 10987, 7846, 14608, 12895, 7454, 6746, 9810, 9788, 5111, 2452, 2364]"
DF,"[31.895296296296294, 34.67411428571428, 33.35883402489626, 32.45698863636363, 31.134732142857143, 31.652584905660376, 34.05190666666666, 33.64130445544554, 32.835616071428575, 31.563030303030303, 31.033926056338025, 30.86414261019879, 30.665591047812818, 31.33874066985646, 31.089667210440457]","[26.145370370370372, 32.14910714285714, 31.618153526970957, 30.63939393939394, 29.333816964285713, 29.81120283018868, 32.473083333333335, 32.19226485148515, 31.421595982142858, 30.518838383838382, 29.891527288732394, 29.78007778738116, 29.400483214649036, 30.067727272727275, 29.970432300163132]","[37.55925925925926, 37.236428571428576, 35.13724066390042, 34.20464015151515, 33.192410714285714, 33.5, 35.57366666666666, 34.99071782178218, 34.243415178571425, 32.642449494949496, 32.13133802816901, 31.959853068280037, 31.83947100712106, 32.58090909090909, 32.288845840130506]","[30.7270081300813, 32.86838271604938, 34.4478281938326, 33.90864444444445, 31.614090322580648, 31.311088560885608, 31.104409770687937, 29.943029350104823, 30.93595303030303, 31.632427609427605, 30.84992222222222, 27.786516057585825, 27.66391645244216, 30.08834256055363, 32.43291032608696]","[28.535975609756097, 30.746604938271606, 32.61640969162996, 32.284841269841266, 29.95758064516129, 30.008148831488317, 29.841450648055833, 28.250995807127886, 29.46352272727273, 30.296043771043774, 29.332916666666666, 26.43169988925803, 26.181073264781492, 27.54195501730104, 31.15484601449275]","[33.113821138211385, 35.000154320987654, 36.25627753303965, 35.60968253968254, 33.43241935483871, 32.67410824108241, 32.239257228315054, 31.50314465408805, 32.388030303030305, 32.948597081930416, 32.369548611111114, 29.081976744186047, 29.12275064267352, 32.77032871972318, 33.70593297101449]","[-0.027874167871589358, -0.05086279610764604, 0.03348136675425842, 0.04552583556430687, 0.016356384909532676, -0.009873238016361094, -0.08604745074867129, -0.10952351631459169, -0.057422151613477225, 0.0025061619108711795, -0.005635794485022947, -0.09942364519038921, -0.09751480451528612, -0.0394836708132477, 0.04357178462467223]","[-0.19766578682936448, -0.1419679544382789, -0.042387340382270815, -0.030948488502595243, -0.06465934395210182, -0.074702033476989, -0.13888755930313346, -0.17014650872858195, -0.11262164604343895, -0.04679042861262904, -0.0641927693757479, -0.15347781486082163, -0.15573014280812678, -0.13242878617787032, -0.008957343777275126]","[0.19457605766875458, 0.042581224530997074, 0.11642535337224176, 0.1313258060144271, 0.10444880837212518, 0.06664582028122074, -0.028126205315289123, -0.04315175734926567, 0.004016740734004161, 0.057841674528770086, 0.054427862033814896, -0.045450517046793606, -0.03604300815280605, 0.06000374724661122, 0.10353745664176951]","[27, 141, 242, 265, 224, 212, 300, 406, 450, 997, 1147, 1169, 998, 1068, 1254]","[123, 162, 227, 317, 312, 818, 1014, 484, 669, 913, 740, 913, 787, 294, 1137]"
ES,"[31.865603174603176, 32.93074693877551, 34.215421965317915, 34.1150355361596, 34.000855563234275, 32.401130281690136, 32.00329645219483, 32.050912367930394, 31.763250627825215, 31.899552048260382, 32.04818923271598, 31.94346399000156, 31.428287200660613, 30.40867292912041, 31.437879635949944]","[28.063095238095237, 31.46938775510204, 33.37465679190751, 33.274797381546136, 33.05666897028335, 31.398723591549295, 31.247669873722188, 31.4586155997514, 31.29104721245605, 31.463660914702583, 31.635778787530196, 31.511455241368537, 30.950272502064408, 29.785212069456307, 30.839908987485778]","[35.69960317460317, 34.47147959183673, 35.09226878612717, 34.96577306733167, 34.915843123704214, 33.391835387323944, 32.75550210463018, 32.64247203231821, 32.25185417713042, 32.35852272727272, 32.4545783964109, 32.43035072644899, 31.905268373245253, 31.037460859664105, 32.04439135381115]","[32.47010488245931, 32.18313950762017, 32.0461184493898, 32.00236280834915, 31.756302343598684, 31.840914388082215, 32.33174136321195, 31.811053651938686, 30.221446904315197, 30.619064045399266, 32.03584149855908, 33.14120926559621, 33.90688774341351, 33.2460525951557, 33.290466512702075]","[31.059358047016275, 31.06896248534584, 31.23548097631012, 31.34778937381404, 31.235032926593068, 31.295092400528002, 31.819140989729227, 31.251375112714157, 29.509821763602254, 29.80175314146737, 31.28240273775216, 32.52795472492761, 33.1557273768614, 32.19650519031141, 32.570793467502476]","[33.93535262206148, 33.31104923798359, 32.88187365398421, 32.63251423149905, 32.28386596939764, 32.41753724306996, 32.859766573295985, 32.358814247069425, 30.941669793621013, 31.4022091609242, 32.735041426512964, 33.79019478810213, 34.68849751813669, 34.40451557093425, 34.03921148135929]","[0.022919497313496472, -0.02219003822633219, -0.06322961853701137, -0.06178484987561611, -0.06584606013943778, -0.017048335590634914, 0.010416281506997662, -0.007393193276144161, -0.04848229642455308, -0.04009523734197682, -0.0003392001375484983, 0.03755272798783878, 0.07893091365449274, 0.09343195608492452, 0.05902886128448029]","[-0.09989062087812878, -0.0779682532587362, -0.09949692809019417, -0.0900300518809165, -0.09486752780793431, -0.052094986076646685, -0.01877114547168102, -0.031753258463217256, -0.07481454712595241, -0.06971338089786774, -0.026364018489663466, 0.012519302269032197, 0.04983782426589662, 0.05132338058978376, 0.02875686776574114]","[0.16771763686784977, 0.0336362008323362, -0.025736306425956534, -0.031790295721743404, -0.0349824716725188, 0.01817403949459065, 0.03919011227801545, 0.01844710796276967, -0.02077164862001938, -0.013216137619559407, 0.02547879328523039, 0.06411831570061967, 0.10982575615777886, 0.1377623343372426, 0.08925810951833137]","[64, 495, 1401, 1622, 1462, 1141, 1669, 3250, 6067, 7253, 8853, 6508, 6150, 3565, 4478]","[556, 856, 1398, 2665, 5254, 5401, 5451, 4509, 2698, 2508, 2837, 3908, 2708, 1493, 3124]"
GO,"[29.820846153846148, 29.369294012511173, 29.58344977890082, 29.386038309859156, 30.45971490177288, 31.233039546858908, 31.54302016524296, 32.18351704802388, 32.957163450318646, 34.67639492973271, 35.09232975201449, 35.08877671109884, 35.21186474576271, 36.14902034224452, 37.034481768356216]","[27.295118343195266, 28.321581769436996, 28.79216677195199, 28.64876056338028, 29.734523239099186, 30.75082904222451, 31.15052163562526, 31.855261372885955, 32.62613993357867, 34.39574400661339, 34.77025267037291, 34.7474687478417, 34.83133474576271, 35.8060580028864, 36.77966435657019]","[32.30784023668639, 30.32004021447721, 30.34249842072015, 30.096521126760564, 31.12444896981313, 31.713105046343973, 31.91374807449937, 32.52160848331374, 33.31543622655058, 34.97384265637917, 35.39590542819664, 35.428016437599275, 35.56875847457627, 36.48860731221222, 37.29750418988087]","[30.545784349969193, 31.431558967512238, 31.640941656744346, 32.43823629392971, 33.340363786202026, 35.414329683041565, 35.34029142046797, 33.61802630488815, 35.72653242749487, 36.53159279279279, 37.364029063224095, 37.323264079261016, 37.81769036697248, 39.33476765957447, 39.58920634777105]","[29.762091805298827, 30.922285269247883, 31.19182258887566, 32.04278913738019, 32.94069048740287, 35.09970116449448, 35.021442921295204, 33.08296913835957, 35.32857958438, 36.20368585977282, 37.06452995696789, 36.97726087604291, 37.36656098219104, 38.887291793313075, 39.18082783253459]","[31.320471349353053, 31.960881174899864, 32.06214492260588, 32.86915654952077, 33.73583411820108, 35.74795442276548, 35.669788466083666, 34.17546603148302, 36.129358871888556, 36.86441637289464, 37.69273253889441, 37.680346766984506, 38.270918780356176, 39.790395136778116, 39.96464418120988]","[0.026109645813159183, 0.0705284428281077, 0.06975788131634278, 0.10404737373660963, 0.09472050054705267, 0.13394704755930997, 0.12042832891660336, 0.044601649230397396, 0.08405827870857911, 0.05351767916903535, 0.0647570285693561, 0.06370504802000501, 0.07403424712243722, 0.08815209775790396, 0.06899692347448355]","[-0.05864414918400253, 0.031223667711159392, 0.03869968095698847, 0.07456204023817228, 0.06771543707380442, 0.11372905095624941, 0.10255310074479787, 0.023830089138439058, 0.06811852505612549, 0.0408576341867353, 0.05111754886620147, 0.04972169411068408, 0.05675549625699446, 0.07245312559946912, 0.05589882412757448]","[0.11979863251876367, 0.11069480998311283, 0.10400926520928636, 0.13626393552752103, 0.12600300587352625, 0.1545958755035643, 0.13744082350475387, 0.06449287735873489, 0.10049885778481014, 0.06652582359253699, 0.0777060450518396, 0.07819855327955207, 0.09094631734468046, 0.10329330500801984, 0.08181221930490322]","[170, 1125, 1590, 1782, 2101, 4899, 7211, 11181, 11288, 18474, 16338, 14790, 12078, 14934, 22717]","[1636, 4537, 5937, 7918, 8614, 13230, 12968, 4930, 8970, 13112, 15569, 13858, 7650, 8491, 11451]"
MA,"[34.17040570102751, 33.79390352504639, 33.494481354315695, 33.231913905841324, 32.916209564812654, 31.94696564687581, 28.937435627530366, 26.900837220149253, 26.43979490655563, 26.818100011249857, 27.960321413257866, 28.55011149100639, 29.26076150727403, 29.736656461148648, 30.482903959652322]","[33.517069937023535, 33.385600114171545, 33.141723891273244, 32.86068003487358, 32.54141261345124, 31.555211304122373, 28.57091542959964, 26.54904850746269, 26.047530744649947, 26.41157329283384, 27.581772575250834, 28.230529953917053, 28.902561809364812, 29.36106418918919, 30.102231999141537]","[34.82403878024528, 34.23267090052804, 33.8319289461135, 33.60295608108108, 33.27581743076565, 32.34071169302567, 29.31464237516869, 27.260625, 26.84696911009974, 27.228850264371694, 28.305651316353657, 28.896253902185226, 29.594802846013195, 30.091989548141893, 30.874109346496404]","[32.92950312744331, 31.59342174492175, 27.22569586090567, 25.90689842403349, 27.049448639325412, 27.205426991150446, 27.852710765651437, 29.308628845957276, 29.75064159552546, 29.406865180854947, 31.06325617047371, 32.27233079285633, 32.63599759513368, 32.95310738507913, 28.185530236283544]","[32.455135848318996, 31.138490675990674, 26.793285325029192, 25.49473651809899, 26.540743579915677, 26.701404016337644, 27.467890757191203, 28.925232546253707, 29.32328893141007, 28.922259773474607, 30.607573202514182, 31.85481458309635, 32.16650162682133, 32.133713262999244, 27.391159391269525]","[33.41201133698202, 32.03636363636364, 27.67819839107305, 26.328404333907905, 27.568805097738597, 27.709543056501023, 28.235942787648053, 29.679037616273128, 30.196577862820135, 29.93027950310559, 31.521282385405488, 32.71108520077352, 33.07655255340218, 33.681876412961564, 28.982879455346414]","[-0.03622408581188459, -0.06507693703766344, -0.18713589627980626, -0.22039821316094693, -0.178202431465566, -0.14838423437535966, -0.03744253597290326, 0.08955794400705105, 0.1252857291338862, 0.09659457032197463, 0.11102351311826683, 0.13041197548342712, 0.11538700157876412, 0.10821150297660932, -0.07532024170676688]","[-0.058705473102547555, -0.08385763131270427, -0.20217399437324243, -0.23531778926048263, -0.19653142043703897, -0.16824692109232803, -0.055101210057571195, 0.06833385569102514, 0.10120317328833361, 0.0719200233949243, 0.09005147441967734, 0.11134971063205581, 0.09573838141515947, 0.07751852938631522, -0.10359271051320443]","[-0.012257323469395348, -0.04733646302559659, -0.17089371454951835, -0.2055445928375065, -0.1587720165540856, -0.12868093662947025, -0.018721749941926314, 0.10998718721355062, 0.14856225978603516, 0.12254167796724359, 0.133383617946381, 0.14979148513469273, 0.1348060650740375, 0.13674791720537233, -0.04501021366489594]","[3072, 7118, 10644, 9303, 8716, 7820, 11266, 10855, 10456, 8996, 11842, 13674, 12824, 9661, 9556]","[5190, 6089, 7807, 8225, 5279, 5948, 9611, 9957, 6930, 5598, 6689, 9085, 7336, 2755, 2561]"
